time,seconds_elapsed,activity
1773150241879000000,0.109,unknown
1773150244675000000,2.905,stationary
1773150245644000000,3.874,unknown
1773150246625000000,4.855,unknown
1773150251760000000,9.99,unknown
1773150280286000000,38.51600024414063,walking
