time,seconds_elapsed,relativeAltitude,pressure
1773150241331685400,-0.438314697265625,0,996.1840057373047
1773150242335379200,0.565379150390625,-0.0105743408203125,996.1852264404297
1773150243339077000,1.5690771484375,-0.0211334228515625,996.1864471435547
1773150244343137300,2.57313720703125,-0.0422821044921875,996.1891174316406
1773150245346744300,3.576744384765625,-0.08984375,996.1946868896484
1773150246350442200,4.580442138671875,-0.23516845703125,996.2120056152344
1773150246897685200,5.127685302734375,-0.31707763671875,996.2216949462891
1773150247899994000,6.129994140625,-0.322357177734375,996.2223815917969
1773150248902012200,7.13201220703125,-0.3831329345703125,996.2296295166016
1773150249905061000,8.13506103515625,-0.4412689208984375,996.2362670898438
1773150250908702200,9.1387021484375,-0.4412689208984375,996.2362670898438
1773150251910813400,10.1408134765625,-0.4412689208984375,996.2362670898438
1773150252914138400,11.144138427734376,-0.4597625732421875,996.2385559082031
1773150253917836300,12.147836181640624,-0.50732421875,996.2442016601562
1773150254921172200,13.151172119140625,-0.5284576416015625,996.2466430664062
1773150255925208300,14.155208251953125,-0.53375244140625,996.2471771240234
1773150256929138200,15.15913818359375,-0.6183013916015625,996.2571716308594
1773150257932650200,16.162650146484374,-0.6183013916015625,996.2571716308594
1773150258935816200,17.165816162109376,-0.6315155029296875,996.2588500976562
1773150259937954300,18.167954345703127,-0.6315155029296875,996.2590026855469
1773150260939983000,19.169983154296876,-0.66058349609375,996.2622833251953
1773150261943653000,20.173653076171874,-0.6817169189453125,996.2648773193359
1773150262947168000,21.17716796875,-0.7134246826171875,996.2687683105469
1773150263949371100,22.17937109375,-0.729278564453125,996.2705230712891
1773150264951983000,23.181983154296876,-0.7583465576171875,996.2739562988281
1773150265955531000,24.185531005859374,-0.7583465576171875,996.2739562988281
1773150266959239200,25.1892392578125,-0.7583465576171875,996.2739562988281
1773150267962980400,26.19298046875,-0.7504119873046875,996.2731170654297
1773150268966637000,27.196636962890626,-0.7504119873046875,996.2731170654297
1773150269970331100,28.2003310546875,-0.7636260986328125,996.2745666503906
1773150270974031000,29.204031005859374,-0.7636260986328125,996.2745666503906
1773150271977738200,30.20773828125,-0.747772216796875,996.2726593017578
1773150272981433000,31.21143310546875,-0.747772216796875,996.2726593017578
1773150273985140200,32.21514013671875,-0.7504119873046875,996.2730407714844
1773150274988840200,33.21884008789063,-0.7504119873046875,996.2730407714844
1773150275992541400,34.22254150390625,-0.747772216796875,996.2726593017578
1773150276996134400,35.226134521484376,-0.7187042236328125,996.2691497802734
1773150277999777300,36.22977734375,-0.665863037109375,996.2628936767578
1773150279003543000,37.23354296875,-0.59716796875,996.2547302246094
1773150280007258000,38.23725805664063,-0.5284576416015625,996.2465667724609
