time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1773150238455522000,-3.31447802734375,129.91173390676877,-1,-1,30.281476854259097,156.36234692861936,-1,17.34624591066648,30,-97.73230689431108,-1
1773150243637264100,1.86726416015625,129.91173390676877,-1,-1,30.281476857438946,156.36234692861936,-1,17.809770650269336,30,-97.73230690125307,-1
1773150244463765200,2.69376513671875,129.91173390676877,-1,-1,30.281476857502412,156.36234692861936,-1,17.759021423918508,30,-97.7323069013294,-1
1773150246200011000,4.430010986328125,129.87732080753426,-1,-1,30.281426617747027,156.32793382938485,-1,17.396799991407004,30,-97.73237547815519,-1
1773150251637055000,9.867054931640626,129.87732080753426,-1,-1,30.281417245223867,156.32793382938485,-1,17.91952280964982,30,-97.73238827352114,-1
1773150252280327000,10.510326904296875,129.87732080753426,-1,-1,30.28141705691603,156.32793382938485,-1,17.963101843179956,30,-97.73238853059894,-1
1773150255941433900,14.171433837890625,129.91173390676877,-1,-1,30.28146727052424,156.36234692861936,-1,17.92498147803555,30,-97.73231999841789,-1
1773150261631123000,19.861123046875,129.91173390676877,-1,-1,30.28147278848708,156.36234692861936,-1,17.836976000501622,30,-97.73231247602016,-1
1773150262288868900,20.518868896484374,129.91173390676877,-1,-1,30.281472896179046,156.36234692861936,-1,17.792637351088615,30,-97.73231232910685,-1
1773150267636684800,25.866684814453127,129.91173390676877,-1,-1,30.28147518592366,156.36234692861936,-1,17.862815228271394,30,-97.7323092132106,-1
1773150268301528000,26.531528076171874,129.91173390676877,-1,-1,30.281475231595465,156.36234692861936,-1,17.998006138166645,30,-97.7323091509588,-1
1773150273634933000,31.86493310546875,129.91173390676877,-1,-1,30.281476144637374,156.36234692861936,-1,17.603034868860476,30,-97.73230791378609,-1
1773150274315439000,32.54543920898438,129.91173390676877,-1,-1,30.281476165372744,156.36234692861936,-1,17.766552935357026,30,-97.73230788558455,-1
1773150279675755000,37.905755126953125,129.91173390676877,-1,-1,30.28147658163154,156.36234692861936,-1,17.911626228021174,30,-97.73230732680753,-1
1773150280327068000,38.55706787109375,129.91173390676877,-1,-1,30.281476584847326,156.36234692861936,-1,17.900241826574778,30,-97.7323073224543,-1
