time,seconds_elapsed,roll,rotationRateZ,quaternionY,rotationRateY,quaternionZ,quaternionW,yaw,devicelocation,accelerationZ,pitch,gravityX,gravityZ,quaternionX,rotationRateX,accelerationX,gravityY,accelerationY
1773150242665219300,0.89521923828125,-0.13191330156177278,0.05864440277218819,-0.05980336939490854,-0.022874440997838974,7.891860904768459e-17,0.9675108701526374,-0.03340243160805081,right,-0.004163503646850586,-0.4953583272789977,-1.1348336859311907,-8.55291659759581,-0.2456545720700527,-0.02697722055017948,0.0006724447011947632,4.661561485728622,0.00865238904953003
1773150242705219300,0.93521923828125,-0.13039718594103972,0.05222032219171524,-0.0596271383573486,-0.022692890837788582,0.0021969660782015818,0.9673047051583531,-0.02861670758193346,right,0.0019214749336242676,-0.4973975194109289,-1.120626808337122,-8.545184542039037,-0.24649835047066812,-0.03283067047595978,0.000684693455696106,4.679145657736063,0.0014849603176116943
1773150242745219300,0.97521923828125,-0.1300334071078715,0.05585441738367081,-0.0597834504427579,-0.03025549091398716,0.003765043303559038,0.966883569830077,-0.025519666280260044,right,0.0020154714584350586,-0.5008773732673615,-1.1154000866647809,-8.529394267711043,-0.248088374788974,-0.027232620865106583,-0.0003674626350402832,4.709107957540453,0.002847135066986084
1773150242785219000,1.015218994140625,-0.12986021504337286,0.0622592493891716,-0.05995578078430671,-0.030448541045188904,0.004853372526342414,0.9667240379241916,-0.023312144523946046,right,0.0028543472290039062,-0.5021734812410392,-1.113131484145671,-8.52352800602615,-0.24864895233406492,-0.02893528714776039,-0.0014380961656570435,4.720253036411107,0.0044155120849609375
1773150242936543200,1.166543212890625,-0.12659070433151096,0.06496335566043854,-0.0598107876545907,-0.012018122710287571,0.010563362963591628,0.9658628266822071,-0.011133404813771704,right,-0.008884284645318985,-0.5094947266473318,-1.0808657297044992,-8.492612058758736,-0.2518331746936341,-0.018303927034139633,0.0033640889450907707,4.78305874441415,0.013509374111890793
1773150242976543200,1.206543212890625,-0.12647489251446575,0.048469074070453644,-0.06012975321922271,-0.01860850863158703,0.012126119766182646,0.9655949266662799,-0.007996897077812572,right,0.0027431845664978027,-0.5115100421984394,-1.0786641280069946,-8.483157417193055,-0.252712745367483,-0.003929637372493744,0.004514619708061218,4.80030243242085,0.0057954490184783936
1773150243016543200,1.246543212890625,-0.12602197527905395,0.04566413536667824,-0.060181502830969465,-0.016857851296663284,0.013173419197495753,0.9654596764375568,-0.005777326381480741,right,-0.00018447637557983398,-0.5125780133283258,-1.074176826525107,-8.478554307311773,-0.2531643675624731,-0.011604757979512215,0.0011601746082305908,4.8094323720768095,0.003389298915863037
1773150243174150400,1.404150390625,-0.12475959734181587,0.02513185888528824,-0.060380723645140126,-0.02357921190559864,0.016267250206715392,0.9650903474162312,0.0007860905388936054,right,-0.0008382322848774493,-0.5154096700884895,-1.0617739296130835,-8.466357089039683,-0.25434244847006365,0.007976893335580826,0.0010283192386850715,4.8336134581312535,-0.0003837636031676084
1773150243214150700,1.444150634765625,-0.12410226239042844,0.02243144065141678,-0.06026948277516016,-0.013425113633275032,0.016976908548071396,0.9650708087373133,0.0024174200330181785,right,-0.0018251538276672363,-0.5156126030045771,-1.0560870430830867,-8.466079441142082,-0.25439662928323653,0.006318282335996628,0.00213690847158432,4.835344811968505,0.0012607872486114502
1773150243254150700,1.484150634765625,-0.12344444192007806,0.01973102241754532,-0.06015820963866816,-0.003271014429628849,0.017686605738899148,0.9650507587937678,0.004049194648839295,right,-0.002812027931213379,-0.5158146210997016,-1.0503973800741135,-8.46580296228826,-0.254450686039285,0.004659670405089855,0.0032451972365379333,4.837068274760246,0.0029061436653137207
