time,seconds_elapsed,magneticBearing
1773522816856242000,0.105241943359375,296.4656807873912
1773522816866280200,0.1152802734375,296.0886625709088
1773522816876318000,0.12531787109375,294.820647384898
1773522816886356000,0.13535595703125,293.3826440926579
1773522816896394000,0.14539404296875,291.3465705161198
1773522816906432000,0.155431884765625,288.2839199746576
1773522816916471600,0.165471435546875,285.6733814284981
1773522816926509300,0.17550927734375,281.1653425588642
1773522816936547600,0.185547607421875,276.8370347860135
1773522816946585300,0.19558544921875,272.1628396837712
1773522816956623600,0.20562353515625,269.0698854978892
1773522816966661400,0.215661376953125,268.9117399673637
1773522816976699600,0.22569970703125,268.9984294263154
1773522816986738400,0.235738525390625,271.07240965937706
1773522816996776700,0.245776611328125,271.07240965937706
1773522817006814500,0.255814453125,273.7302516769224
1773522817016852500,0.2658525390625,275.6713722023043
1773522817026890500,0.275890380859375,278.3985438734994
1773522817036928500,0.285928466796875,279.59634576799044
1773522817046966500,0.295966552734375,280.7349015575036
1773522817057005300,0.30600537109375,281.6462700899449
1773522817067043600,0.316043701171875,281.8323113644971
1773522817077081300,0.326081298828125,282.83234779507285
1773522817087119600,0.33611962890625,282.48397601000715
1773522817097157400,0.346157470703125,282.58878908847805
1773522817107195400,0.3561953125,283.5854542950462
1773522817117233400,0.3662333984375,283.78497717267004
1773522817127272400,0.3762724609375,284.9057841731711
1773522817137310500,0.386310546875,285.7741695102966
1773522817147348500,0.396348388671875,286.8855822585399
1773522817157386500,0.406386474609375,289.09512813605807
1773522817167424500,0.416424560546875,290.9256872600682
1773522817177462500,0.426462646484375,294.03531820564126
1773522817187500500,0.43650048828125,296.69980981644704
1773522817197539600,0.44653955078125,299.61917532749595
1773522817207577300,0.456577392578125,303.53716321172385
1773522817217615400,0.466615478515625,306.48697909099343
1773522817227653400,0.4766533203125,309.96475628910565
1773522817237691400,0.48669140625,313.7231365353036
1773522817247729700,0.496729736328125,317.6210716778283
1773522817257767400,0.506767333984375,322.03198072405155
1773522817267806500,0.516806396484375,325.87441779992463
1773522817277844500,0.526844482421875,330.27260520916076
1773522817287882500,0.536882568359375,334.3538448981238
1773522817297920500,0.54692041015625,338.0751932035962
1773522817307958300,0.556958251953125,341.9357381883188
1773522817317996500,0.56699658203125,345.314134244138
