time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1773522816856242000,0.105241943359375,-1.072180759453503,-0.14645797898991658,0.5000670005604176,0.07293321098388425,-0.8523208563267799,0.04508052941582962,0.2991886010005877
1773522816866280200,0.1152802734375,-1.0739035408235937,-0.15030076628876596,0.4996223987067863,0.08911145306625447,-0.8522480960340763,0.03821477958835171,0.29879938590694477
1773522816876318000,0.12531787109375,-1.077710012455339,-0.1563296856487586,0.4994509926575829,0.11164608279718602,-0.8516206275588803,0.029189408215369556,0.2998998495635051
1773522816886356000,0.13535595703125,-1.082702564838313,-0.16485252584485646,0.4990486831476423,0.1404079712680641,-0.8505542415472527,0.018209724263415536,0.3032328410294302
1773522816896394000,0.14539404296875,-1.0874093055827427,-0.17526738818349089,0.4980209398499096,0.16960062821715619,-0.8492289488622313,0.00816721457721749,0.31079869952746786
1773522816906432000,0.155431884765625,-1.0905858122461909,-0.18699714813768986,0.4961269709426406,0.19298552966385732,-0.847870854968583,0.0022407522221899196,0.325014217407882
1773522816916471600,0.165471435546875,-1.0925232000576857,-0.20099973221216036,0.4931580971856559,0.2124511876874582,-0.8464007753236806,-0.000016295865899627658,0.34716848180554344
1773522816926509300,0.17550927734375,-1.0936306214028855,-0.2185980434074847,0.48867698655331315,0.23213095894605354,-0.8446357966929038,-0.00009030138869434284,0.3781299888698211
1773522816936547600,0.185547607421875,-1.0944697253262765,-0.24011978802077727,0.4824190774985955,0.25527029790568634,-0.8423859236607806,0.00047864251922260853,0.4169885334136919
1773522816946585300,0.19558544921875,-1.0938789237005664,-0.2592916609634007,0.476132645673749,0.2691249030700144,-0.8402628213867658,0.004878703395439645,0.45603536388059873
1773522816956623600,0.20562353515625,-1.0903279815673488,-0.26648399483749696,0.47307864272497174,0.26176763867164254,-0.8396460598139865,0.013319285871013229,0.4781152716651685
1773522816966661400,0.215661376953125,-1.083805902867533,-0.26828491786623193,0.4697607408086086,0.26291160064791697,-0.8409404272669851,0.012933000828348366,0.4817989635774491
1773522816976699600,0.22569970703125,-1.0752540814307054,-0.267103303261369,0.46535200668823157,0.2802392463314802,-0.843861515239994,0.0010955883582433026,0.4687999857658979
1773522816986738400,0.235738525390625,-1.0648451935948824,-0.26336306223180356,0.4602873094479319,0.3069500498968184,-0.8476172269042366,-0.01790282745925505,0.44447200720069113
1773522816996776700,0.245776611328125,-1.0532600006288493,-0.258540245370872,0.45474407644459564,0.338963037106723,-0.8513025241298906,-0.04060534876709039,0.4150785847186472
1773522817006814500,0.255814453125,-1.0428934884431176,-0.25364514971010865,0.44974792978254685,0.37224110365193586,-0.854006688371554,-0.06374580161472511,0.3853572635098434
1773522817016852500,0.2658525390625,-1.0342171222077952,-0.24887531131238338,0.44566955854256174,0.4033874704264244,-0.8556709516529948,-0.08524688598787947,0.3574930314807582
1773522817026890500,0.275890380859375,-1.0275900496406394,-0.24460029727278768,0.4426293318810835,0.43094708270184084,-0.8563985901562647,-0.1040743091254284,0.3329347382740744
1773522817036928500,0.285928466796875,-1.0231961331137571,-0.24173049439330477,0.44033110341062043,0.45623165832336465,-0.8562504508039839,-0.1204582204660904,0.3129647129641285
1773522817046966500,0.295966552734375,-1.0210530091098442,-0.24026576942406752,0.4388479731422604,0.4772834807946316,-0.855511775941808,-0.133357969700671,0.29846418728366125
1773522817057005300,0.30600537109375,-1.0207039511782656,-0.23998473813210822,0.43812242559973075,0.4916386097090838,-0.854635899625236,-0.1416106409456038,0.2901683591085297
1773522817067043600,0.316043701171875,-1.0207507204934787,-0.24072413651856173,0.43737888668044067,0.5029363057838828,-0.8538143082499408,-0.14748848802871575,0.28593094632085403
1773522817077081300,0.326081298828125,-1.0200213579077073,-0.2411543932234577,0.43653858228993747,0.5109970219399981,-0.853368085347094,-0.15179433444538584,0.28281378932547274
1773522817087119600,0.33611962890625,-1.0180372795830985,-0.2403535820437367,0.43570101413543805,0.5158932420703274,-0.8534155053222511,-0.15516656074573953,0.27862141690566866
1773522817097157400,0.346157470703125,-1.0156849105465453,-0.23809723129793448,0.4353176148824272,0.5182356694563904,-0.8537213092042,-0.1580133642605522,0.27231864300316405
1773522817107195400,0.3561953125,-1.0128330746367955,-0.23429770759245236,0.4353546297129349,0.5178627314363055,-0.8543276634144151,-0.16029728328596637,0.26381111292760173
