time,seconds_elapsed,relativeAltitude,pressure
1773148985894881000,-0.486118896484375,0,996.2653350830078
1773148986898581000,0.5175810546875,-0.0475616455078125,996.2712097167969
1773148987902285000,1.52128515625,-0.0977783203125,996.2769317626953
1773148988906100000,2.525099853515625,-0.19024658203125,996.2881469726562
1773148989908543200,3.527543212890625,-0.2721710205078125,996.2978363037109
1773148990910627000,4.529626953125,-0.285369873046875,996.2991333007812
1773148991458734000,5.077734130859375,-0.3223724365234375,996.3036346435547
1773148992462436000,6.08143603515625,-0.36993408203125,996.3094329833984
1773148993466147000,7.08514697265625,-0.3857879638671875,996.3111114501953
1773148994469848000,8.08884814453125,-0.433349609375,996.3166809082031
1773148995473569300,9.0925693359375,-0.465057373046875,996.3207244873047
1773148996476720000,10.09572021484375,-0.483551025390625,996.3227081298828
1773148997478738200,11.09773828125,-0.4914703369140625,996.3238525390625
1773148998482178000,12.101177978515626,-0.546966552734375,996.3301849365234
1773148999485882000,13.104882080078125,-0.5496063232421875,996.3306427001953
1773149000488894000,14.10789404296875,-0.5601806640625,996.3319396972656
1773149001491032000,15.110031982421875,-0.59716796875,996.3361358642578
1773149002493681200,16.11268115234375,-0.62359619140625,996.3392639160156
1773149003497391000,17.11639111328125,-0.62359619140625,996.3392639160156
1773149004500122000,18.1191220703125,-0.62359619140625,996.3392639160156
1773149005502244000,19.121244140625,-0.665863037109375,996.3442230224609
1773149006504450000,20.123449951171875,-0.665863037109375,996.3442230224609
1773149007508013000,21.127012939453124,-0.6447296142578125,996.3417816162109
1773149008512025000,22.131025146484376,-0.6447296142578125,996.3417816162109
1773149009515435000,23.13443505859375,-0.647369384765625,996.3421630859375
1773149010519155000,24.138155029296875,-0.647369384765625,996.3421630859375
1773149011522864000,25.141864013671874,-0.6077423095703125,996.3375854492188
