time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1773148942093708000,-44.2872919921875,129.87724642093758,-1,-1,30.28147696998583,156.32785944278817,-1,17.41566155906896,30.58021349457385,-97.73230743001707,-1
1773148986468163000,0.0871630859375,129.87724642093758,-1,-1,30.28147696998583,156.32785944278817,-1,17.41566155906896,30.58021349457385,-97.73230743001707,-1
1773148986475375000,0.094375,129.87724642093758,-1,-1,30.28147696999866,156.32785944278817,-1,19.04725067231715,30.584665503033886,-97.73230743000157,-1
1773148986676556000,0.29555615234375,129.8811011725245,-1,-1,30.281476969934847,156.33171419437508,-1,19.047720925417277,30.58466550323968,-97.73230743007848,-1
1773148992427587000,6.046587158203125,129.87724642093758,-1,-1,30.281476969973056,156.32785944278817,-1,17.672342421338474,30.585092800214973,-97.73230743003245,-1
1773148992663923000,6.2829228515625,129.87724642093758,-1,-1,30.281476969973134,156.32785944278817,-1,17.68997553583762,30.585092974633213,-97.73230743003235,-1
1773148998433787000,12.052786865234374,129.87724642093758,-1,-1,30.281476969988514,156.32785944278817,-1,17.450063629501734,30.585541862016793,-97.73230743001382,-1
1773148998675981000,12.29498095703125,129.87724642093758,-1,-1,30.281476969988546,156.32785944278817,-1,17.460314049476203,30.58554196986121,-97.73230743001379,-1
1773149004433372000,18.052371826171875,129.87724642093758,-1,-1,30.28147696999531,156.32785944278817,-1,17.757033707114296,30.586114636861563,-97.73230743000563,-1
1773149004688093000,18.307093017578126,129.87724642093758,-1,-1,30.281476969995328,156.32785944278817,-1,17.77746951926339,30.58611486670568,-97.73230743000563,-1
1773149010433863200,24.05286328125,129.87724642093758,-1,-1,30.28147696999804,156.32785944278817,-1,17.605365297023567,30.58658405263288,-97.73230743000235,-1
1773149010698328000,24.317328125,129.87724642093758,-1,-1,30.281476969998042,156.32785944278817,-1,17.62446062537641,30.586584241437247,-97.73230743000235,-1
