time,seconds_elapsed,magneticBearing
1773148986478848000,0.097847900390625,126.80935754993116
1773148986488885200,0.10788525390625,126.46210716311651
1773148986498922000,0.117921875,126.3350772712218
1773148986508959000,0.127958984375,125.46994744646777
1773148986518996000,0.137995849609375,125.10333622736026
1773148986529033200,0.148033203125,124.62035963880635
1773148986539070200,0.1580703125,124.26261946058582
1773148986549107200,0.168107177734375,123.22488809571514
1773148986559144000,0.17814404296875,122.44804710816825
1773148986569181200,0.18818115234375,121.51159441163647
1773148986579218200,0.19821826171875,120.62901993188827
1773148986589255200,0.208255126953125,119.55217536476226
1773148986599291100,0.218291015625,118.4773900385133
1773148986609328000,0.228328125,116.97042132125318
1773148986619364900,0.23836474609375,116.34237569183531
1773148986629401900,0.24840185546875,115.87293685339213
1773148986639438800,0.25843896484375,115.6342550372051
1773148986649476000,0.26847607421875,115.31553521754564
1773148986659513000,0.27851318359375,115.35912787224069
1773148986669549800,0.2885498046875,115.63334440061448
1773148986679586800,0.2985869140625,115.79308955763551
1773148986689624000,0.3086240234375,116.23554270948061
1773148986699661000,0.3186611328125,116.53694971120223
1773148986709698000,0.328697998046875,117.01944157420488
1773148986719734800,0.33873486328125,117.07696640585952
1773148986729771800,0.348771728515625,117.62357268013415
1773148986739809000,0.35880908203125,117.66642050180609
1773148986749846000,0.368845947265625,117.6082540061683
1773148986759882000,0.378882080078125,117.5455088237677
1773148986769919000,0.3889189453125,117.84493094484554
1773148986779956000,0.3989560546875,117.34927093617789
1773148986789993000,0.408992919921875,117.11996348391081
1773148986800030000,0.419030029296875,117.08563361809799
1773148986810067000,0.42906689453125,116.71833179659902
1773148986820104000,0.43910400390625,116.85240903869168
1773148986830141200,0.44914111328125,117.06808699880906
1773148986840178000,0.459177978515625,116.84554268658626
1773148986850215000,0.46921484375,116.55564431871748
1773148986860252000,0.479251953125,116.39276547390848
1773148986870289000,0.489288818359375,116.35088753822355
1773148986880326100,0.499326171875,116.68649086290597
1773148986890363000,0.50936279296875,117.20887057348446
1773148986900399900,0.51939990234375,117.67135430620019
1773148986910436900,0.529436767578125,118.22504137857945
1773148986920474000,0.53947412109375,118.63565778546182
1773148986930511000,0.549510986328125,118.7800436257679
1773148986940547800,0.5595478515625,118.30149352643032
1773148986950583800,0.569583740234375,118.20462238467634
1773148986960620800,0.579620849609375,117.92335024233334
