absolute_timestamp,gyro_x,gyro_y,gyro_z
1775856275054,0.198,-0.094,-0.037
1775856275074,0.194,-0.094,-0.035
1775856275093,0.190,-0.093,-0.030
1775856275113,0.183,-0.093,-0.023
1775856275133,0.177,-0.090,-0.021
1775856275153,0.171,-0.091,-0.021
1775856275173,0.167,-0.092,-0.014
1775856275192,0.165,-0.091,-0.008
1775856275212,0.163,-0.090,-0.002
1775856275232,0.165,-0.089,0.004
1775856275252,0.169,-0.089,0.010
1775856275271,0.155,-0.085,0.012
1775856275291,0.135,-0.076,0.015
1775856275311,0.113,-0.068,0.018
1775856275331,0.104,-0.060,0.021
1775856275350,0.095,-0.053,0.024
1775856275370,0.083,-0.044,0.029
1775856275390,0.075,-0.037,0.038
1775856275410,0.070,-0.030,0.044
1775856275429,0.061,-0.025,0.050
1775856275449,0.051,-0.018,0.057
1775856275469,0.042,-0.010,0.064
1775856275489,0.039,-0.006,0.065
1775856275508,0.044,-0.006,0.063
1775856275528,0.049,-0.007,0.064
1775856275548,0.053,-0.010,0.070
1775856275568,0.052,-0.014,0.078
1775856275587,0.042,-0.016,0.079
1775856275607,0.030,-0.021,0.074
1775856275627,0.021,-0.027,0.062
1775856275647,0.020,-0.032,0.049
1775856275667,0.020,-0.033,0.033
1775856275686,0.018,-0.032,0.022
1775856275706,0.016,-0.030,0.015
1775856275726,0.016,-0.026,0.007
1775856275746,0.022,-0.024,-0.001
1775856275765,0.032,-0.027,-0.004
1775856275785,0.042,-0.029,0.000
1775856275805,0.046,-0.030,0.007
1775856275825,0.043,-0.030,0.008
1775856275844,0.036,-0.030,0.008
1775856275864,0.030,-0.028,0.014
1775856275884,0.025,-0.025,0.019
1775856275904,0.024,-0.022,0.021
1775856275923,0.025,-0.022,0.017
1775856275943,0.026,-0.020,0.017
1775856275963,0.022,-0.016,0.018
1775856275983,0.018,-0.013,0.020
1775856276002,0.008,-0.009,0.028
1775856276022,0.002,-0.003,0.038
1775856276042,-0.004,0.003,0.045
1775856276062,-0.014,0.012,0.050
1775856276081,-0.015,0.016,0.052
1775856276101,-0.019,0.017,0.052
1775856276121,-0.027,0.020,0.049
1775856276141,-0.031,0.019,0.043
1775856276160,-0.027,0.015,0.038
1775856276180,-0.021,0.010,0.031
1775856276200,-0.014,0.003,0.024
1775856276220,-0.005,-0.003,0.017
1775856276239,0.003,-0.008,0.012
1775856276259,0.007,-0.012,0.007
1775856276279,0.009,-0.015,0.002
1775856276299,0.008,-0.017,0.000
1775856276319,0.011,-0.019,-0.000
1775856276338,0.010,-0.019,-0.002
1775856276358,0.006,-0.017,-0.003
1775856276378,0.001,-0.015,-0.002
1775856276398,-0.008,-0.011,0.000
1775856276417,-0.016,-0.005,0.001
1775856276437,-0.021,-0.005,-0.004
1775856276457,-0.026,-0.002,-0.006
1775856276477,-0.028,0.000,-0.007
1775856276496,-0.028,0.001,-0.007
1775856276516,-0.031,0.003,-0.007
1775856276536,-0.030,0.004,-0.006
1775856276556,-0.027,0.003,-0.006
1775856276575,-0.027,0.005,-0.005
1775856276595,-0.022,0.005,-0.006
1775856276615,-0.021,0.006,-0.005
1775856276635,-0.023,0.010,0.000
1775856276654,-0.020,0.012,0.000
1775856276674,-0.018,0.011,-0.002
1775856276694,-0.020,0.012,-0.003
1775856276714,-0.023,0.013,-0.002
1775856276733,-0.023,0.013,-0.001
