time,seconds_elapsed,relativeAltitude,pressure
1773149841461143300,-0.471856689453125,0,996.0638427734375
1773149842464729000,0.53172900390625,-0.01849365234375,996.0662078857422
1773149843468376000,1.5353759765625,-0.0396270751953125,996.0685729980469
1773149844472021000,2.53902099609375,-0.0819091796875,996.0735321044922
1773149845474286000,3.5412861328125,-0.0819091796875,996.0735321044922
1773149846476270000,4.54327001953125,-0.0819091796875,996.0735321044922
1773149847024920300,5.09192041015625,-0.0713348388671875,996.0722351074219
1773149848027551200,6.09455126953125,-0.068695068359375,996.0719299316406
1773149849029717200,7.09671728515625,-0.068695068359375,996.0719299316406
1773149850033322000,8.100322021484375,-0.10833740234375,996.0768127441406
1773149851036944100,9.103944091796874,-0.10833740234375,996.0768127441406
1773149852039846100,10.10684619140625,-0.113616943359375,996.0774230957031
1773149853041951200,11.108951171875,-0.13739013671875,996.0801696777344
1773149854045079300,12.112079345703124,-0.177032470703125,996.0848999023438
1773149855048685000,13.11568505859375,-0.18231201171875,996.0853576660156
1773149856051878100,14.118878173828126,-0.1849517822265625,996.0858154296875
1773149857053918200,15.120918212890626,-0.26422119140625,996.0951995849609
1773149858055909000,16.1229091796875,-0.26422119140625,996.0951995849609
1773149859059265000,17.12626513671875,-0.2563018798828125,996.0942077636719
1773149860062903000,18.129903076171875,-0.2563018798828125,996.0942077636719
1773149861066529300,19.133529296875,-0.2563018798828125,996.0942077636719
1773149862070154200,20.137154296875,-0.2378082275390625,996.0920715332031
1773149863073784000,21.1407841796875,-0.2378082275390625,996.0920715332031
1773149864077415200,22.144415283203124,-0.2378082275390625,996.0920715332031
1773149865081037300,23.148037353515626,-0.2113800048828125,996.0889434814453
1773149866084675000,24.151675048828125,-0.2113800048828125,996.0889434814453
1773149867088297200,25.155297119140624,-0.2113800048828125,996.0889434814453
1773149868091927300,26.15892724609375,-0.1796722412109375,996.0850524902344
1773149869095529000,27.162529052734374,-0.1796722412109375,996.0850524902344
1773149870099180300,28.16618017578125,-0.169097900390625,996.0837554931641
1773149871102854100,29.169854248046875,-0.169097900390625,996.0837554931641
1773149872106445000,30.173445068359374,-0.113616943359375,996.0771942138672
1773149873110082000,31.17708203125,-0.113616943359375,996.0771942138672
1773149874113715200,32.180715087890626,-0.113616943359375,996.0771942138672
1773149875117350100,33.18435009765625,-0.073974609375,996.0724639892578
1773149876120994000,34.187994140625,-0.0528411865234375,996.0700225830078
1773149877124623400,35.191623291015624,-0.044921875,996.0692596435547
1773149878128193000,36.195193115234375,0.0026397705078125,996.0634613037109
1773149879131834400,37.19883447265625,0.08984375,996.0532379150391
1773149880135471000,38.20247119140625,0.14532470703125,996.0468292236328
1773149881139116300,39.2061162109375,0.19818115234375,996.0404968261719
1773149882142761200,40.20976123046875,0.2589569091796875,996.0331726074219
