time,seconds_elapsed,z,y,x
1773149842044000500,0.11100048828125,-19.676532745361328,13.827529907226562,-25.181686401367188
1773149842054037200,0.121037353515625,-20.53580665588379,14.765167236328125,-24.288658142089844
1773149842064073200,0.1310732421875,-21.02063751220703,15.49542236328125,-23.30242919921875
1773149842074109400,0.141109375,-21.884525299072266,16.39825439453125,-22.504119873046875
1773149842084145400,0.1511455078125,-22.516464233398438,16.955734252929688,-21.593093872070312
1773149842094181400,0.161181396484375,-23.246549606323242,17.435791015625,-20.395973205566406
1773149842104217300,0.17121728515625,-24.04059410095215,17.981216430664062,-19.373138427734375
1773149842114253300,0.18125341796875,-24.880151748657227,18.3436279296875,-18.18109893798828
1773149842124289300,0.191289306640625,-25.393035888671875,18.316802978515625,-17.27477264404297
1773149842134326300,0.201326171875,-26.194971084594727,18.471786499023438,-16.32421112060547
1773149842144362200,0.2113623046875,-26.730484008789062,18.290618896484375,-15.485397338867188
1773149842154398200,0.221398193359375,-27.55150032043457,18.051971435546875,-14.430374145507812
1773149842164434200,0.23143408203125,-27.55150032043457,18.051971435546875,-14.430374145507812
1773149842174470400,0.241470458984375,-28.223512649536133,17.739028930664062,-14.001716613769531
1773149842184506400,0.25150634765625,-28.581329345703125,17.382522583007812,-13.932701110839844
1773149842194542300,0.261542236328125,-28.577762603759766,17.077362060546875,-14.225181579589844
1773149842204577500,0.27157763671875,-28.444915771484375,16.888717651367188,-14.325927734375
1773149842214614300,0.2816142578125,-28.542333602905273,16.9237060546875,-14.524261474609375
1773149842224650500,0.291650390625,-28.343584060668945,16.757064819335938,-14.586273193359375
1773149842234686500,0.3016865234375,-28.277183532714844,16.771041870117188,-14.84344482421875
1773149842244722400,0.311722412109375,-27.91433334350586,16.99102783203125,-14.980072021484375
1773149842254758400,0.32175830078125,-27.757661819458008,17.043930053710938,-15.528785705566406
1773149842264794400,0.33179443359375,-27.49435806274414,16.96343994140625,-15.935501098632812
1773149842274830300,0.341830322265625,-27.444242477416992,16.974761962890625,-16.120628356933594
1773149842284867300,0.351867431640625,-27.359058380126953,16.960556030273438,-16.352272033691406
1773149842294903300,0.3619033203125,-26.721378326416016,16.7724609375,-16.425880432128906
1773149842304939300,0.371939208984375,-26.6680965423584,16.775863647460938,-16.736984252929688
1773149842314975200,0.381975341796875,-26.54630470275879,16.973541259765625,-17.121017456054688
1773149842325011200,0.39201123046875,-26.230958938598633,16.9254150390625,-17.458267211914062
1773149842335047200,0.402047119140625,-25.685062408447266,17.370086669921875,-17.808692932128906
1773149842345083100,0.412083251953125,-24.953102111816406,17.852127075195312,-18.11376953125
1773149842355119400,0.422119384765625,-24.53900146484375,18.342514038085938,-18.539627075195312
1773149842365156400,0.43215625,-23.894371032714844,18.571701049804688,-19.062515258789062
1773149842375192300,0.4421923828125,-23.309226989746094,18.981002807617188,-19.445968627929688
1773149842385228300,0.452228271484375,-22.83924674987793,18.953323364257812,-19.883277893066406
1773149842395264500,0.462264404296875,-22.39524269104004,18.844802856445312,-20.311302185058594
1773149842405300500,0.472300537109375,-21.965747833251953,18.611831665039062,-20.675628662109375
1773149842415336400,0.48233642578125,-22.08148956298828,17.948654174804688,-21.11376190185547
1773149842425372400,0.492372314453125,-21.622928619384766,17.451644897460938,-21.710914611816406
1773149842435409400,0.502409423828125,-21.26143455505371,16.971649169921875,-21.966903686523438
1773149842445445400,0.5124453125,-21.150875091552734,16.397476196289062,-22.53394317626953
1773149842455481300,0.5224814453125,-20.676013946533203,15.868759155273438,-22.929542541503906
1773149842465517300,0.532517333984375,-20.388235092163086,15.473953247070312,-23.547210693359375
1773149842475553300,0.54255322265625,-19.931049346923828,15.254768371582031,-23.97834014892578
1773149842485589200,0.55258935546875,-19.231563568115234,14.796424865722656,-24.425575256347656
1773149842495625200,0.562625244140625,-18.698192596435547,14.537811279296875,-24.84711456298828
1773149842505662500,0.572662353515625,-18.161273956298828,14.48162841796875,-25.3404541015625
1773149842515698400,0.582698486328125,-17.352224349975586,14.4814453125,-25.707069396972656
1773149842525734400,0.592734375,-16.921161651611328,14.818389892578125,-25.929672241210938
1773149842535770400,0.602770263671875,-16.41913604736328,15.06219482421875,-25.95716094970703
1773149842545806300,0.612806396484375,-16.52985382080078,15.429924011230469,-25.963348388671875
1773149842555842300,0.62284228515625,-16.570545196533203,16.052467346191406,-25.932769775390625
1773149842565878300,0.632878173828125,-16.3751277923584,16.786956787109375,-25.752685546875
1773149842575914500,0.64291455078125,-16.03717803955078,17.64422607421875,-25.462799072265625
1773149842585951200,0.652951171875,-15.787483215332031,18.494125366210938,-25.091163635253906
1773149842595987200,0.6629873046875,-15.296228408813477,19.580551147460938,-24.783721923828125
1773149842606023400,0.6730234375,-14.969082832336426,20.575027465820312,-24.465736389160156
1773149842616059400,0.683059326171875,-14.434412002563477,21.79931640625,-23.97802734375
1773149842626095400,0.693095458984375,-13.987594604492188,23.1077880859375,-23.09490966796875
1773149842636131300,0.70313134765625,-14.002716064453125,24.282257080078125,-22.261924743652344
1773149842646167300,0.713167236328125,-14.166534423828125,25.286346435546875,-21.220977783203125
1773149842656204500,0.72320458984375,-14.562864303588867,26.32037353515625,-20.098854064941406
1773149842666240500,0.733240478515625,-15.674771308898926,27.188812255859375,-18.7294921875
1773149842676276500,0.7432763671875,-16.583444595336914,27.719650268554688,-17.17913818359375
1773149842686312400,0.7533125,-17.845230102539062,27.953140258789062,-15.753196716308594
1773149842696348400,0.763348388671875,-18.82412338256836,28.166549682617188,-14.266593933105469
1773149842706384400,0.77338427734375,-20.00064468383789,28.239669799804688,-12.81573486328125
