time,seconds_elapsed,roll,rotationRateZ,quaternionY,rotationRateY,quaternionZ,quaternionW,yaw,devicelocation,accelerationZ,pitch,gravityX,gravityZ,quaternionX,rotationRateX,accelerationX,gravityY,accelerationY
1773149842574536400,0.641536376953125,1.1844496053769393,-0.534292995929718,0.5302012184913832,-0.4636138379573822,1.334216124683168e-17,0.8231231778348252,-0.2308931158156334,left,-0.6174910068511963,0.34136983713827335,8.559655550462008,-3.481986959990859,0.20335850588253265,0.4840223789215088,-0.8938760757446289,-3.2830531181424853,0.226792573928833
1773149842614536400,0.681536376953125,0.4222768204912632,-0.3385903835296631,0.20653776073048558,-0.708651602268219,0.01078130372362556,0.9714008618912335,-0.027998599895233175,left,-0.07840502262115479,0.23317917547479705,3.9103704857215282,-8.703128201851248,0.11664511468739605,0.40090298652648926,-0.5027605891227722,-2.2660408519282935,0.1070190817117691
1773149842654536400,0.721536376953125,0.19776187811160278,-0.2717295289039612,0.09850414679237444,-0.6640388369560242,0.01131272881690051,0.9908553527062446,0.00446585517620517,left,-0.03821277618408203,0.18462600424485465,1.894019849410653,-9.45209012763202,0.09151194712297027,0.3841172158718109,-0.3362083435058594,-1.8002943947479129,0.045963168144226074
1773149842694536400,0.761536376953125,-0.02323374666367485,-0.20486865937709808,-0.010778640340420592,-0.6194260120391846,0.01170068118602246,0.9977441891027234,0.024968597413460858,left,-0.04697757959365845,0.13025805387698952,-0.22589438428720457,-9.720947985056043,0.06521824480733847,0.36733144521713257,-0.15909555554389954,-1.2737861564822495,-0.021288752555847168
1773149842734536700,0.80153662109375,-0.11991347180656776,-0.26905372738838196,-0.05895129588912437,-0.39303910732269287,0.0073156428195428015,0.9956985618363409,0.02318432365187972,left,-0.04712778329849243,0.1411997551733767,-1.1614578542888163,-9.639332362642884,0.07110262551811763,0.24122308194637299,-0.08132103085517883,-1.3801003129526972,-0.022483617067337036
1773149842774536700,0.84153662109375,-0.1408201336307359,-0.3614770770072937,-0.06948865630587915,-0.29585832357406616,0.0033005129549229257,0.9946536986736391,0.017373238705564252,left,-0.059724390506744385,0.15194531420742757,-1.3605555083967744,-9.597707389834522,0.0763180268439556,0.1717776209115982,-0.028513237833976746,-1.4843477461516856,-0.024679183959960938
1773149842814536400,0.881536376953125,-0.1594326978483349,-0.44461768865585327,-0.07934767911030231,-0.19063447415828705,-0.005869969207437967,0.9936991291427596,0.0008721465655010792,left,-0.008384108543395996,0.1584764234867854,-1.537375718114525,-9.560947392714024,0.07893856626992685,0.1240917518734932,-0.016971975564956665,-1.5476260401025415,0.023519128561019897
1773149842854536400,0.921536376953125,-0.16805597079950402,-0.4412446916103363,-0.08405272034242298,-0.25611206889152527,-0.011730890965300781,0.9931468590814402,-0.009923725222251007,left,-0.025705456733703613,0.16228873732703597,-1.618765568947792,-9.541448326995969,0.0803533048717508,0.08738549798727036,0.0067529380321502686,-1.584532313825935,0.021603703498840332
1773149842894536400,0.961536376953125,-0.17224998589556237,-0.40880629420280457,-0.08693201304970402,-0.2275589555501938,-0.02178185738189366,0.9926445305264388,-0.029502228214280737,left,-0.006670773029327393,0.1661412632595245,-1.657709485978633,-9.528490645745396,0.08139414484040608,0.06821431964635849,-0.008930355310440063,-1.6218043521218002,0.04673943668603897
1773149842934536400,1.001536376953125,-0.17725677515531157,-0.29272639751434326,-0.08991328363693014,-0.14748460054397583,-0.02811300523542947,0.9923193223823378,-0.04195863224604732,left,-0.02741396427154541,0.16491308810198088,-1.705745641003549,-9.522024664601682,0.08017133701956972,0.1413806974887848,0.021551117300987244,-1.6099246753662824,-0.005553305149078369
1773149842974536700,1.04153662109375,-0.17688337030556786,-0.17085915803909302,-0.0901211284310943,-0.08621316403150558,-0.03300318791325365,0.9922000516521415,-0.051877272550366595,left,-0.010432004928588867,0.16454520894008268,-1.7022940392449497,-9.52324339274168,0.07954803591980134,0.17457439005374908,0.026572003960609436,-1.6063658138409256,-0.012348711490631104
1773149843014536700,1.08153662109375,-0.17377919012717646,-0.14712639153003693,-0.08889165922151125,0.04189766198396683,-0.0363973735486778,0.9920588553862393,-0.05864394487289959,left,-0.028708219528198242,0.16836525089929402,-1.6716507714390754,-9.522368363472818,0.08119482689191486,0.07361654192209244,0.06293190270662308,-1.643309789226204,-0.030672520399093628
1773149843054536700,1.12153662109375,-0.1653779275800058,-0.11595674604177475,-0.08494373954253162,0.059254974126815796,-0.03822520292985916,0.9921374941347395,-0.06262679361890425,left,-0.01089555025100708,0.17321380494169553,-1.5902623819105326,-9.528104861298203,0.08358466680436988,0.0945262759923935,0.050561659038066864,-1.6901660868167876,-0.0446038544178009
1773149843094536400,1.161536376953125,-0.16012537065629678,-0.13617320358753204,-0.08251383295941535,0.07446678727865219,-0.03968750926762898,0.9921365139061357,-0.06574017676085249,left,-0.010742902755737305,0.17678852785019114,-1.5392206153288484,-9.530300910037756,0.08533076327159303,0.08986835181713104,0.04841398447751999,-1.7246866344474254,-0.05442194640636444
1773149843134536400,1.201536376953125,-0.15485814274620696,-0.15638966858386993,-0.08008301042841526,0.08967860043048859,-0.041149364198473634,0.9921245195696484,-0.06887458414792015,left,-0.010625481605529785,0.18034707415986423,-1.4880451393648981,-9.532152090862393,0.08707591437694528,0.08521042764186859,0.04625266045331955,-1.7590291951626538,-0.06425820291042328
1773149843174536400,1.241536376953125,-0.14052725461633706,-0.2142282873392105,-0.07366463817388742,0.0930899977684021,-0.046471854172779964,0.9918366618376749,-0.08003011025559816,left,0.018868446350097656,0.1927850428026726,-1.3481238968469202,-9.530096327376365,0.09313348925918859,0.0976104810833931,0.015355542302131653,-1.8788865776866672,-0.05422401428222656
1773149843214536700,1.28153662109375,-0.12944500966362887,-0.32754629850387573,-0.0690791035159442,0.14575786888599396,-0.05337570213539025,0.9912476300643824,-0.0942477667882727,left,0.005128383636474609,0.2051389390302201,-1.239337505044043,-9.520705398696661,0.09903120595828041,0.06054599955677986,0.005350358784198761,-1.9976462281018494,-0.061581000685691833
1773149843254536700,1.32153662109375,-0.11823929929875139,-0.49283361434936523,-0.06460983718420373,0.17588822543621063,-0.061817164068489104,0.9906579429530267,-0.11194736797506363,left,-0.0073972344398498535,0.21360719491074928,-1.1305394958686084,-9.516855153009296,0.10296111374752359,-0.01984822377562523,-0.007313154637813568,-2.078877527372539,-0.07069443166255951
1773149843294536700,1.36153662109375,-0.10819436457050573,-0.6582272052764893,-0.06075610591449292,0.21430683135986328,-0.07114582853048591,0.9901171911071589,-0.1316558384718553,left,-0.019527912139892578,0.21723293719157494,-1.0340671536505222,-9.520175237342714,0.10447416548718708,-0.07282792031764984,-0.009708352386951447,-2.1136121561452743,-0.07250699400901794
1773149843334536400,1.401536376953125,-0.09807029451823826,-0.8236207365989685,-0.05689603970030063,0.25272542238235474,-0.08046705480834582,0.989473044380608,-0.15141610464451896,left,-0.03172111511230469,0.2206643383774906,-0.9369172044318169,-9.522882158213854,0.10597630158047223,-0.12580762803554535,-0.012172654271125793,-2.1464592176057398,-0.07451198995113373
