time,seconds_elapsed,batteryLevel,batteryState,lowPowerMode
1773149842935000000,1.002,0.20000000298023224,unplugged,true
1773149843935000000,2.002,0.20000000298023224,unplugged,true
1773149844936000000,3.003,0.20000000298023224,unplugged,true
1773149845936000000,4.003,0.20000000298023224,unplugged,true
1773149846937000000,5.004,0.20000000298023224,unplugged,true
1773149847937000000,6.004,0.20000000298023224,unplugged,true
1773149848938000000,7.004999755859375,0.20000000298023224,unplugged,true
1773149849938000000,8.004999755859375,0.20000000298023224,unplugged,true
1773149850939000000,9.006,0.20000000298023224,unplugged,true
1773149851939000000,10.006,0.20000000298023224,unplugged,true
1773149852940000000,11.007,0.20000000298023224,unplugged,true
1773149853940000000,12.007,0.20000000298023224,unplugged,true
1773149854941000000,13.008,0.20000000298023224,unplugged,true
1773149855941000000,14.008,0.20000000298023224,unplugged,true
1773149856942000000,15.009000244140625,0.20000000298023224,unplugged,true
1773149857943000000,16.01,0.20000000298023224,unplugged,true
1773149858957000000,17.024,0.20000000298023224,unplugged,true
1773149859960000000,18.027,0.20000000298023224,unplugged,true
1773149860960000000,19.027,0.20000000298023224,unplugged,true
1773149861961000000,20.028,0.20000000298023224,unplugged,true
1773149862961000000,21.028,0.20000000298023224,unplugged,true
1773149863962000000,22.028999755859374,0.20000000298023224,unplugged,true
1773149864962000000,23.028999755859374,0.20000000298023224,unplugged,true
1773149865963000000,24.03,0.20000000298023224,unplugged,true
1773149866963000000,25.03,0.20000000298023224,unplugged,true
1773149867964000000,26.031,0.20000000298023224,unplugged,true
1773149868965000000,27.032,0.20000000298023224,unplugged,true
1773149869965000000,28.032,0.20000000298023224,unplugged,true
1773149870965000000,29.032,0.20000000298023224,unplugged,true
1773149871966000000,30.033000244140624,0.20000000298023224,unplugged,true
1773149872968000000,31.035,0.20000000298023224,unplugged,true
1773149873971000000,32.038,0.20000000298023224,unplugged,true
1773149874972000000,33.039,0.20000000298023224,unplugged,true
1773149875972000000,34.039,0.20000000298023224,unplugged,true
1773149876975000000,35.042,0.20000000298023224,unplugged,true
1773149877980000000,36.047,0.20000000298023224,unplugged,true
1773149878984000000,37.051,0.20000000298023224,unplugged,true
1773149879989000000,38.056,0.20000000298023224,unplugged,true
1773149882029000000,40.096,0.20000000298023224,unplugged,true
1773149883032000000,41.099,0.20000000298023224,unplugged,true
1773149884035000000,42.102,0.20000000298023224,unplugged,true
1773149885039000000,43.106,0.20000000298023224,unplugged,true
