absolute_timestamp,gyro_x,gyro_y,gyro_z
1775855247732,0.009,-0.042,-0.109
1775855247752,-0.003,-0.052,-0.098
1775855247772,-0.022,-0.057,-0.086
1775855247792,-0.037,-0.053,-0.066
1775855247811,-0.047,-0.058,-0.049
1775855247831,-0.045,-0.074,-0.041
1775855247851,-0.033,-0.098,-0.025
1775855247871,-0.016,-0.107,0.006
1775855247890,0.005,-0.104,0.033
1775855247910,0.027,-0.106,0.040
1775855247930,0.044,-0.115,0.033
1775855247950,0.045,-0.118,0.023
1775855247970,0.031,-0.113,0.014
1775855247989,0.014,-0.110,0.011
1775855248009,-0.001,-0.104,0.008
1775855248029,-0.013,-0.097,0.006
1775855248049,-0.022,-0.092,0.004
1775855248068,-0.021,-0.084,0.008
1775855248088,-0.020,-0.079,0.006
1775855248108,-0.016,-0.077,0.005
1775855248128,-0.020,-0.070,0.007
1775855248147,-0.035,-0.062,0.007
1775855248167,-0.051,-0.060,0.007
1775855248187,-0.062,-0.057,0.009
1775855248207,-0.062,-0.055,0.015
1775855248226,-0.059,-0.051,0.022
1775855248246,-0.064,-0.047,0.025
1775855248266,-0.074,-0.045,0.030
1775855248286,-0.093,-0.036,0.031
1775855248305,-0.114,-0.027,0.022
1775855248325,-0.132,-0.025,0.003
1775855248345,-0.149,-0.031,-0.011
1775855248365,-0.149,-0.049,-0.027
1775855248384,-0.129,-0.094,-0.058
1775855248404,-0.114,-0.161,-0.088
1775855248424,-0.121,-0.242,-0.117
1775855248444,-0.140,-0.334,-0.145
1775855248463,-0.175,-0.426,-0.178
1775855248483,-0.225,-0.521,-0.218
1775855248503,-0.286,-0.607,-0.254
1775855248523,-0.338,-0.658,-0.268
1775855248542,-0.365,-0.677,-0.264
1775855248562,-0.364,-0.675,-0.266
1775855248582,-0.335,-0.637,-0.268
1775855248602,-0.288,-0.575,-0.266
1775855248621,-0.234,-0.511,-0.260
1775855248641,-0.190,-0.455,-0.252
1775855248661,-0.165,-0.398,-0.239
1775855248681,-0.141,-0.344,-0.223
1775855248701,-0.116,-0.294,-0.208
1775855248720,-0.095,-0.248,-0.189
1775855248740,-0.085,-0.203,-0.169
1775855248760,-0.072,-0.154,-0.148
1775855248780,-0.048,-0.108,-0.132
1775855248799,-0.017,-0.071,-0.119
1775855248819,0.006,-0.040,-0.110
1775855248839,0.023,-0.027,-0.104
1775855248859,0.033,-0.025,-0.101
1775855248878,0.029,-0.025,-0.089
1775855248898,0.002,-0.018,-0.080
1775855248918,-0.018,-0.010,-0.071
1775855248938,-0.026,0.002,-0.080
1775855248957,-0.025,0.001,-0.100
1775855248977,-0.022,-0.012,-0.122
1775855248997,-0.022,-0.029,-0.137
1775855249017,-0.017,-0.042,-0.149
1775855249036,-0.001,-0.058,-0.159
1775855249056,0.015,-0.069,-0.165
1775855249076,0.026,-0.073,-0.165
1775855249096,0.035,-0.073,-0.163
1775855249115,0.041,-0.070,-0.158
1775855249135,0.042,-0.066,-0.151
1775855249155,0.043,-0.064,-0.146
1775855249175,0.042,-0.061,-0.135
1775855249194,0.042,-0.054,-0.123
1775855249214,0.044,-0.045,-0.108
1775855249234,0.049,-0.034,-0.094
1775855249254,0.054,-0.026,-0.083
1775855249273,0.054,-0.019,-0.074
1775855249293,0.052,-0.012,-0.064
1775855249313,0.054,-0.007,-0.053
1775855249333,0.057,-0.004,-0.045
1775855249352,0.058,-0.005,-0.040
1775855249372,0.058,-0.008,-0.035
1775855249392,0.057,-0.009,-0.032
1775855249412,0.054,-0.007,-0.029
1775855249431,0.057,0.002,-0.019
1775855249451,0.082,0.027,-0.016
1775855249471,0.139,0.090,-0.022
1775855249491,0.194,0.207,-0.031
1775855249510,0.227,0.338,-0.036
1775855249530,0.240,0.425,-0.032
1775855249550,0.224,0.461,-0.010
1775855249570,0.186,0.449,0.021
1775855249590,0.149,0.405,0.048
1775855249609,0.126,0.340,0.067
1775855249629,0.108,0.260,0.080
1775855249649,0.080,0.184,0.081
1775855249669,0.059,0.126,0.079
1775855249688,0.045,0.084,0.074
1775855249708,0.039,0.054,0.063
1775855249728,0.037,0.032,0.048
1775855249748,0.027,0.019,0.033
1775855249767,0.015,0.013,0.022
1775855249787,0.010,0.011,0.015
1775855249807,0.012,0.009,0.012
1775855249827,0.010,0.009,0.008
1775855249846,0.005,0.007,0.007
1775855249866,-0.004,0.005,0.009
1775855249886,-0.004,0.003,0.008
1775855249906,0.008,0.000,0.011
1775855249925,0.014,0.003,0.014
1775855249945,0.013,0.008,0.014
1775855249965,0.011,0.012,0.011
1775855249985,0.010,0.012,0.010
1775855250004,0.006,0.013,0.006
1775855250024,-0.003,0.012,0.003
1775855250044,-0.009,0.010,0.007
1775855250064,-0.011,0.006,0.009
1775855250083,-0.017,-0.005,0.005
1775855250103,-0.029,-0.024,0.001
1775855250123,-0.047,-0.053,-0.004
1775855250143,-0.068,-0.096,-0.006
1775855250163,-0.086,-0.151,-0.006
1775855250182,-0.102,-0.202,-0.012
1775855250202,-0.116,-0.232,-0.019
1775855250222,-0.132,-0.238,-0.020
1775855250242,-0.140,-0.244,-0.022
1775855250261,-0.139,-0.245,-0.024
1775855250281,-0.130,-0.234,-0.029
1775855250301,-0.113,-0.211,-0.034
1775855250321,-0.093,-0.178,-0.037
1775855250340,-0.070,-0.143,-0.036
1775855250360,-0.050,-0.115,-0.037
1775855250380,-0.034,-0.090,-0.038
1775855250400,-0.021,-0.067,-0.036
1775855250419,-0.011,-0.045,-0.031
1775855250439,-0.005,-0.033,-0.027
1775855250459,-0.000,-0.029,-0.021
1775855250479,0.000,-0.027,-0.018
1775855250498,-0.002,-0.021,-0.016
1775855250518,-0.008,-0.013,-0.014
1775855250538,-0.011,-0.013,-0.012
1775855250558,-0.011,-0.022,-0.011
1775855250578,-0.014,-0.026,-0.010
1775855250597,-0.015,-0.018,-0.006
1775855250617,-0.010,-0.010,-0.011
1775855250637,-0.006,-0.009,-0.018
1775855250657,-0.006,-0.008,-0.015
1775855250676,-0.009,-0.007,-0.016
1775855250696,-0.013,-0.008,-0.016
1775855250716,-0.019,-0.008,-0.016
1775855250736,-0.021,-0.006,-0.012
1775855250755,-0.018,-0.003,-0.009
1775855250775,-0.014,0.000,-0.005
1775855250795,-0.007,0.002,-0.003
1775855250815,-0.001,-0.001,-0.004
1775855250834,0.001,-0.004,-0.003
1775855250854,0.002,-0.006,0.000
1775855250874,0.001,-0.006,0.000
1775855250894,-0.002,-0.003,-0.000
1775855250914,-0.006,0.001,-0.001
1775855250953,-0.007,0.001,-0.005
1775855250973,-0.011,0.001,-0.004
1775855250993,-0.011,-0.001,-0.006
1775855251012,-0.008,-0.004,-0.007
1775855251032,-0.004,-0.006,-0.007
1775855251052,-0.001,-0.006,-0.006
1775855251072,0.000,-0.005,-0.005
1775855251091,-0.001,-0.002,-0.004
1775855251111,-0.002,-0.001,-0.005
1775855251131,0.001,-0.003,-0.006
1775855251151,0.002,-0.004,-0.005
1775855251170,0.000,-0.005,-0.005
1775855251190,-0.002,-0.005,-0.003
1775855251210,-0.004,-0.004,-0.005
1775855251230,-0.006,-0.005,-0.007
1775855251250,-0.005,-0.006,-0.002
1775855251269,-0.005,-0.004,0.003
1775855251289,-0.006,-0.001,0.002
1775855251309,-0.007,0.001,-0.001
1775855251329,-0.007,0.002,-0.004
1775855251348,-0.004,0.000,-0.004
1775855251368,-0.003,-0.002,-0.004
1775855251388,-0.004,-0.006,-0.004
1775855251408,-0.004,-0.007,-0.003
1775855251427,-0.001,-0.006,-0.003
1775855251447,0.002,-0.006,-0.001
1775855251467,0.004,-0.006,0.003
1775855251487,0.006,-0.004,0.006
1775855251506,0.005,-0.001,0.005
1775855251526,0.005,0.001,0.005
1775855251546,0.005,0.005,0.005
1775855251566,0.004,0.007,0.007
1775855251585,0.003,0.007,0.007
1775855251605,0.003,0.006,0.005
1775855251625,0.002,0.004,0.004
1775855251645,-0.000,0.003,0.005
1775855251664,-0.002,0.005,0.006
1775855251684,0.000,0.005,0.005
1775855251704,-0.000,0.003,0.003
1775855251724,-0.003,0.003,0.003
1775855251744,-0.005,0.005,0.005
1775855251763,-0.005,0.007,0.006
1775855251783,-0.003,0.006,0.006
1775855251803,-0.002,0.008,0.007
1775855251823,-0.003,0.009,0.006
1775855251842,-0.003,0.007,0.004
1775855251862,0.000,0.005,0.010
1775855251882,0.002,0.006,0.010
1775855251902,0.001,0.006,0.004
1775855251921,-0.003,0.004,-0.003
1775855251941,-0.005,0.001,-0.003
1775855251961,-0.006,0.001,-0.000
1775855251981,-0.008,0.000,0.000
1775855252000,-0.008,-0.001,0.000
1775855252020,-0.009,0.000,-0.001
1775855252040,-0.008,0.000,0.000
1775855252060,-0.009,0.004,0.003
1775855252080,-0.006,0.004,0.002
1775855252099,-0.004,0.005,0.001
1775855252119,-0.003,0.003,0.001
1775855252139,-0.001,0.000,0.000
1775855252159,0.000,-0.002,0.000
1775855252178,0.001,-0.003,-0.000
1775855252198,0.002,-0.003,-0.002
1775855252218,0.003,-0.002,-0.002
1775855252238,0.003,-0.001,-0.000
1775855252257,0.002,-0.000,-0.001
1775855252277,0.001,-0.000,-0.001
1775855252297,-0.001,0.000,-0.001
1775855252317,-0.002,-0.000,-0.001
1775855252336,-0.003,-0.002,-0.001
1775855252356,-0.003,-0.003,-0.003
1775855252376,-0.003,-0.005,-0.001
1775855252396,-0.002,-0.003,-0.002
1775855252415,-0.002,-0.004,-0.005
1775855252435,0.000,-0.005,-0.002
1775855252455,0.000,-0.003,0.000
1775855252475,-0.001,-0.002,0.000
1775855252494,-0.003,-0.001,-0.003
1775855252514,-0.002,-0.002,-0.007
1775855252534,-0.001,-0.002,-0.006
1775855252554,0.000,-0.004,-0.004
1775855252573,0.000,-0.007,-0.003
1775855252593,-0.000,-0.008,-0.003
1775855252613,-0.001,-0.008,-0.004
1775855252633,-0.000,-0.007,0.000
1775855252653,-0.001,-0.003,0.002
1775855252672,-0.001,0.000,0.003
1775855252692,-0.002,0.000,0.003
1775855252712,-0.004,0.002,0.003
1775855252732,-0.003,0.002,0.003
1775855252751,-0.004,-0.001,0.002
1775855252771,-0.005,-0.002,0.003
1775855252791,-0.006,-0.001,0.004
1775855252811,-0.006,-0.000,0.004
1775855252830,-0.006,-0.001,0.004
1775855252850,-0.006,-0.001,0.003
1775855252870,-0.005,-0.001,0.004
1775855252890,-0.004,0.000,0.007
1775855252909,-0.005,0.003,0.010
1775855252929,-0.006,0.005,0.009
1775855252949,-0.007,0.006,0.009
1775855252969,-0.006,0.005,0.008
1775855252988,-0.008,0.003,0.007
1775855253008,-0.008,0.002,0.011
1775855253028,-0.011,0.004,0.015
1775855253048,-0.012,0.006,0.012
1775855253067,-0.014,0.008,0.008
1775855253087,-0.016,0.009,0.007
1775855253107,-0.015,0.007,0.007
1775855253127,-0.014,0.002,0.005
1775855253147,-0.013,0.000,0.006
1775855253166,-0.013,-0.001,0.006
1775855253186,-0.013,-0.000,0.006
1775855253206,-0.011,0.001,0.010
1775855253226,-0.009,0.004,0.011
1775855253245,-0.010,0.005,0.010
1775855253265,-0.010,0.006,0.009
1775855253285,-0.010,0.005,0.009
1775855253305,-0.009,0.002,0.009
1775855253324,-0.010,0.000,0.007
1775855253344,-0.012,-0.001,0.006
1775855253364,-0.014,-0.000,0.009
1775855253384,-0.018,0.001,0.009
1775855253403,-0.022,0.003,0.008
1775855253423,-0.025,0.007,0.012
1775855253443,-0.024,0.009,0.016
1775855253463,-0.023,0.009,0.021
1775855253483,-0.031,0.009,0.024
1775855253502,-0.047,0.010,0.029
1775855253522,-0.066,0.017,0.033
1775855253542,-0.083,0.024,0.037
1775855253562,-0.101,0.028,0.037
1775855253581,-0.119,0.030,0.042
1775855253601,-0.135,0.037,0.053
1775855253621,-0.147,0.044,0.058
1775855253641,-0.155,0.047,0.058
1775855253660,-0.158,0.049,0.054
1775855253680,-0.159,0.052,0.055
1775855253700,-0.162,0.055,0.053
1775855253720,-0.162,0.058,0.053
1775855253739,-0.156,0.062,0.057
1775855253759,-0.150,0.068,0.062
1775855253779,-0.143,0.081,0.068
1775855253799,-0.133,0.098,0.077
1775855253818,-0.119,0.121,0.082
1775855253838,-0.107,0.144,0.086
1775855253858,-0.106,0.166,0.080
1775855253878,-0.105,0.177,0.076
1775855253897,-0.097,0.179,0.079
1775855253917,-0.102,0.172,0.073
1775855253937,-0.126,0.161,0.070
1775855253957,-0.137,0.146,0.073
1775855253977,-0.135,0.128,0.077
1775855253996,-0.148,0.117,0.077
1775855254016,-0.164,0.114,0.075
1775855254036,-0.158,0.109,0.069
1775855254056,-0.161,0.097,0.045
1775855254075,-0.178,0.085,0.031
1775855254095,-0.184,0.073,0.024
1775855254115,-0.170,0.060,0.020
1775855254135,-0.144,0.038,0.004
1775855254154,-0.122,0.008,-0.018
1775855254174,-0.109,-0.016,-0.022
1775855254194,-0.102,-0.028,-0.022
1775855254214,-0.121,-0.031,-0.024
1775855254233,-0.127,-0.022,-0.004
1775855254253,-0.125,-0.007,0.012
1775855254273,-0.111,-0.003,0.026
1775855254293,-0.080,0.000,0.040
1775855254312,-0.062,0.011,0.038
1775855254332,-0.056,0.005,0.029
1775855254352,-0.054,0.001,0.031
1775855254372,-0.058,0.006,0.030
1775855254391,-0.051,0.005,0.019
1775855254411,-0.042,0.005,0.013
1775855254431,-0.033,0.010,0.016
1775855254451,-0.033,0.013,0.011
1775855254470,-0.027,0.012,-0.005
1775855254490,-0.030,0.000,-0.000
1775855254510,-0.065,0.008,0.001
1775855254530,-0.087,0.021,0.007
1775855254549,-0.087,0.014,0.020
1775855254569,-0.072,0.020,0.036
