time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1773150800486163200,-1.5928369140625,129.87732080753426,-1,-1,30.281410459065807,156.32793382938485,-1,15.978000814729349,30,-97.73239753798354,-1
1773150805966248000,3.887248046875,129.87732080753426,-1,-1,30.281410458900048,156.32793382938485,-1,15.920593145045133,30,-97.7323975382092,-1
1773150806498494200,4.419494140625,129.87732080753426,-1,-1,30.2814104588976,156.32793382938485,-1,16.06954905950266,30,-97.73239753821255,-1
1773150811965394000,9.886393798828125,129.87732080753426,-1,-1,30.28141045879876,156.32793382938485,-1,16.969418232655347,30,-97.7323975383471,-1
1773150812507875000,10.428875,129.87732080753426,-1,-1,30.28141045879707,156.32793382938485,-1,17.114592424328972,30,-97.73239753834939,-1
1773150817972163000,15.8931630859375,129.87732080753426,-1,-1,30.281410458747732,156.32793382938485,-1,17.54221302330277,30,-97.73239753841658,-1
1773150818519830000,16.440830078125,129.87732080753426,-1,-1,30.281410458747,156.32793382938485,-1,17.654365476414373,30,-97.73239753841756,-1
1773150823965457000,21.886456787109374,129.87732080753426,-1,-1,30.28141045872475,156.32793382938485,-1,18.000810868188292,30,-97.73239753844787,-1
1773150824530398700,22.451398681640626,129.87732080753426,-1,-1,30.281410458724395,156.32793382938485,-1,18.10637332505732,30,-97.73239753844834,-1
1773150825600530200,23.5215302734375,129.90903705216485,-1,-1,30.281467183867154,156.35965007401543,-1,18.479069274403845,30,-97.73232030880474,-1
1773150830965526000,28.886526123046874,129.90903705216485,-1,-1,30.281472328917946,156.35965007401543,-1,17.191755613660142,30,-97.7323133039667,-1
1773150831697757000,29.6187568359375,129.90903705216485,-1,-1,30.281472476827815,156.35965007401543,-1,17.187939126296207,30,-97.73231310259168,-1
1773150835044877000,32.965876953125,129.87732080753426,-1,-1,30.28142154734901,156.32793382938485,-1,17.810012010081945,30,-97.73238244160616,-1
1773150840965066000,38.88606591796875,129.87732080753426,-1,-1,30.281415128666353,156.32793382938485,-1,17.466310184020976,30,-97.73239118045724,-1
1773150841057348900,38.97834887695313,129.87732080753426,-1,-1,30.281415124231135,156.32793382938485,-1,17.472268458916314,30,-97.73239118649566,-1
