time,seconds_elapsed,relativeAltitude,pressure
1773150801576025600,-0.502974365234375,0,996.2657928466797
1773150802579791600,0.50079150390625,0.021148681640625,996.2633514404297
1773150803583499800,1.504499755859375,0.039642333984375,996.2609100341797
1773150804587319600,2.508319580078125,0.039642333984375,996.2609100341797
1773150805591076600,3.51207666015625,0.0237884521484375,996.2629699707031
1773150806594835500,4.51583544921875,-0.029052734375,996.2693023681641
1773150807142593500,5.063593505859375,-0.1849517822265625,996.2876892089844
1773150808145108500,6.0661083984375,-0.2061004638671875,996.2901306152344
1773150809147378400,7.06837841796875,-0.322357177734375,996.3039398193359
1773150810150896600,8.071896728515625,-0.3936920166015625,996.3124084472656
1773150811154651600,9.075651611328125,-0.430694580078125,996.3166809082031
1773150812158407400,10.079407470703124,-0.4597625732421875,996.3201904296875
1773150813162156500,11.083156494140624,-0.4597625732421875,996.3201904296875
1773150814165905400,12.086905517578124,-0.4280548095703125,996.3165283203125
1773150815169914400,13.090914306640625,-0.41748046875,996.3150787353516
1773150816172575500,14.093575439453126,-0.41748046875,996.3150787353516
1773150817174690600,15.095690673828125,-0.4095458984375,996.3143157958984
1773150818177470500,16.098470458984377,-0.4095458984375,996.3143157958984
1773150819180944600,17.101944580078126,-0.441253662109375,996.3180541992188
1773150820184700400,18.105700439453123,-0.44390869140625,996.3182830810547
1773150821188437500,19.1094375,-0.5099639892578125,996.3260650634766
1773150822192183600,20.11318359375,-0.5099639892578125,996.3260650634766
1773150823195860700,21.11686083984375,-0.512603759765625,996.3265991210938
1773150824198485500,22.119485595703125,-0.512603759765625,996.3265991210938
1773150825201021700,23.122021728515627,-0.512603759765625,996.3265991210938
1773150826203783400,24.124783447265624,-0.48089599609375,996.3226318359375
1773150827207628500,25.128628662109374,-0.48089599609375,996.3226318359375
1773150828211452400,26.132452392578124,-0.4782562255859375,996.3223266601562
1773150829215031600,27.136031494140624,-0.46240234375,996.3205718994141
1773150830218839600,28.139839599609374,-0.4597625732421875,996.3204193115234
1773150831222676500,29.143676513671874,-0.4386138916015625,996.3178253173828
1773150832226281700,30.14728173828125,-0.4333343505859375,996.317138671875
1773150833230038500,31.15103857421875,-0.3884124755859375,996.3118743896484
1773150834233818600,32.15481860351562,-0.377838134765625,996.3105773925781
1773150835237259500,33.158259521484375,-0.348785400390625,996.3070678710938
1773150836240836600,34.161836669921875,-0.314422607421875,996.3028717041016
1773150837244608800,35.16560888671875,-0.221954345703125,996.2919616699219
1773150838248380700,36.169380615234374,-0.150604248046875,996.2836456298828
1773150839252154600,37.17315454101563,-0.0845489501953125,996.2757873535156
1773150840255937500,38.1769375,-0.005279541015625,996.2663269042969
1773150841259727400,39.18072729492187,0.0554962158203125,996.2592315673828
