time,seconds_elapsed,magneticBearing
1773150802169671700,0.090671630859375,108.92391574372014
1773150802179709700,0.100709716796875,108.66171199722076
1773150802189746700,0.11074658203125,108.7746264394202
1773150802199784700,0.12078466796875,108.75014004924135
1773150802209822700,0.13082275390625,108.68943867563779
1773150802219859700,0.140859619140625,108.3151266799902
1773150802229897700,0.150897705078125,108.40337161572914
1773150802239935700,0.160935791015625,108.11234819440058
1773150802249972700,0.17097265625,108.00958154999284
1773150802260010800,0.1810107421875,107.94720850608284
1773150802270048500,0.191048583984375,108.14598510473927
1773150802280085800,0.201085693359375,108.19513267733504
1773150802290123800,0.211123779296875,108.08515341186722
1773150802300160800,0.221160888671875,107.43801014223213
1773150802310198800,0.23119873046875,107.64349254391189
1773150802320236800,0.24123681640625,107.51757830277279
1773150802330273500,0.2512734375,107.22485692042308
1773150802340311800,0.261311767578125,106.986480471017
1773150802350349600,0.271349609375,106.65119283995344
1773150802360386800,0.28138671875,106.5770367993602
1773150802370424800,0.2914248046875,106.45357575217345
1773150802380462600,0.301462646484375,106.29593412165295
1773150802390499800,0.311499755859375,106.19843858426954
1773150802400537900,0.321537841796875,106.22613175409423
1773150802410575600,0.33157568359375,106.30061749638797
1773150802420612900,0.34161279296875,106.35874293028374
1773150802430650600,0.351650634765625,105.93558799147603
1773150802440689000,0.36168896484375,106.26356794017362
1773150802450726000,0.371725830078125,106.08489093809854
1773150802460763600,0.381763671875,105.63816455570097
1773150802470800600,0.391800537109375,105.66668637255933
1773150802480838700,0.401838623046875,105.13104530584297
1773150802490876700,0.411876708984375,105.38598612687096
1773150802500913700,0.42191357421875,105.5804550840899
1773150802510951700,0.43195166015625,105.65862258178467
1773150802520989700,0.44198974609375,105.89928273589815
1773150802531027000,0.45202685546875,106.18995942561223
1773150802541064700,0.462064697265625,106.03737339940808
1773150802551102700,0.472102783203125,105.97754866259388
1773150802561139700,0.4821396484375,105.92612508641804
1773150802571177700,0.492177734375,106.37671495914479
1773150802581215700,0.5022158203125,106.09716049342231
1773150802591252700,0.512252685546875,106.23655685818107
1773150802601290800,0.522290771484375,106.61710763025043
1773150802611327700,0.53232763671875,106.7726446123849
1773150802621365800,0.54236572265625,106.49367393941591
1773150802631403800,0.55240380859375,106.1816529743549
1773150802641440500,0.5624404296875,106.51171741420889
1773150802651478800,0.572478759765625,106.67422054569246
1773150802661516500,0.5825166015625,106.61043895943726
