time,seconds_elapsed,z,y,x,local_time
1775952696221889500,0.0928896484375,37.16998291015625,-30.47225570678711,-0.9018173217773438,2026-04-11T19:11:36.221-05:00
1775952696231945200,0.1029453125,37.33783721923828,-30.56655502319336,-0.7865753173828125,2026-04-11T19:11:36.231-05:00
1775952696242002400,0.11300244140625,37.30126190185547,-30.68968391418457,-0.7243270874023438,2026-04-11T19:11:36.242-05:00
1775952696252059400,0.123059326171875,36.976097106933594,-31.022905349731445,-0.30736541748046875,2026-04-11T19:11:36.252-05:00
1775952696262116600,0.13311669921875,37.34923553466797,-31.191425323486328,-0.0594482421875,2026-04-11T19:11:36.262-05:00
1775952696272173600,0.143173583984375,36.86406707763672,-31.4152774810791,0.29216766357421875,2026-04-11T19:11:36.272-05:00
1775952696282230500,0.15323046875,36.85362243652344,-31.418066024780273,0.6085205078125,2026-04-11T19:11:36.282-05:00
1775952696292287500,0.16328759765625,37.00054168701172,-31.645906448364258,0.5187149047851562,2026-04-11T19:11:36.292-05:00
1775952696302344400,0.173344482421875,36.51884460449219,-31.586912155151367,0.6882095336914062,2026-04-11T19:11:36.302-05:00
1775952696312401400,0.1834013671875,36.85913848876953,-31.437395095825195,0.6991653442382812,2026-04-11T19:11:36.312-05:00
1775952696322458600,0.193458740234375,36.840911865234375,-31.424455642700195,0.7070846557617188,2026-04-11T19:11:36.322-05:00
1775952696332515600,0.203515625,36.47251892089844,-31.364173889160156,0.7835159301757812,2026-04-11T19:11:36.332-05:00
1775952696342572500,0.213572509765625,36.890480041503906,-31.455760955810547,0.672027587890625,2026-04-11T19:11:36.342-05:00
1775952696352629500,0.22362939453125,36.838905334472656,-31.47859764099121,0.8467483520507812,2026-04-11T19:11:36.352-05:00
1775952696362686500,0.2336865234375,36.726539611816406,-31.516490936279297,0.800384521484375,2026-04-11T19:11:36.362-05:00
1775952696372743400,0.243743408203125,36.972076416015625,-31.649011611938477,0.9781112670898438,2026-04-11T19:11:36.372-05:00
1775952696382800400,0.25380029296875,36.505340576171875,-31.697162628173828,1.112884521484375,2026-04-11T19:11:36.382-05:00
1775952696392857300,0.263857421875,36.53557586669922,-31.726083755493164,1.1065521240234375,2026-04-11T19:11:36.392-05:00
1775952696402914300,0.273914306640625,36.53557586669922,-31.726083755493164,1.1065521240234375,2026-04-11T19:11:36.402-05:00
1775952696412970200,0.28397021484375,36.33164978027344,-31.755197525024414,1.1523666381835938,2026-04-11T19:11:36.412-05:00
1775952696423027500,0.29402734375,36.086936950683594,-31.86273193359375,1.2653656005859375,2026-04-11T19:11:36.423-05:00
1775952696433084400,0.30408447265625,36.316375732421875,-32.05392837524414,1.3025970458984375,2026-04-11T19:11:36.433-05:00
1775952696443141600,0.3141416015625,36.033599853515625,-32.13606643676758,1.3317489624023438,2026-04-11T19:11:36.443-05:00
1775952696453198600,0.324198486328125,35.99444580078125,-32.13508987426758,1.305145263671875,2026-04-11T19:11:36.453-05:00
1775952696463255600,0.334255615234375,35.8582763671875,-32.266380310058594,1.443359375,2026-04-11T19:11:36.463-05:00
1775952696473312500,0.3443125,35.55628204345703,-32.333099365234375,1.6640625,2026-04-11T19:11:36.473-05:00
1775952696483369500,0.354369384765625,35.79261779785156,-32.3077392578125,1.5351943969726562,2026-04-11T19:11:36.483-05:00
1775952696493426400,0.364426513671875,35.60216522216797,-32.243080139160156,1.62841796875,2026-04-11T19:11:36.493-05:00
1775952696503483400,0.3744833984375,35.484886169433594,-32.270668029785156,1.7828292846679688,2026-04-11T19:11:36.503-05:00
1775952696513540600,0.38454052734375,36.13300323486328,-32.57448196411133,1.7581939697265625,2026-04-11T19:11:36.513-05:00
1775952696523597600,0.39459765625,35.99279022216797,-32.56865692138672,1.9127273559570312,2026-04-11T19:11:36.523-05:00
1775952696533654500,0.404654541015625,35.88427734375,-32.719573974609375,1.8745193481445312,2026-04-11T19:11:36.533-05:00
1775952696543711500,0.41471142578125,36.013938903808594,-32.858760833740234,1.7734603881835938,2026-04-11T19:11:36.543-05:00
1775952696553768400,0.4247685546875,35.47270965576172,-32.7815055847168,1.92901611328125,2026-04-11T19:11:36.553-05:00
1775952696563825400,0.434825439453125,35.633583068847656,-32.729698181152344,1.8330230712890625,2026-04-11T19:11:36.563-05:00
1775952696573881300,0.44488134765625,35.608123779296875,-32.71511459350586,1.7713546752929688,2026-04-11T19:11:36.573-05:00
1775952696583938300,0.454938232421875,35.454559326171875,-32.72031021118164,1.8001632690429688,2026-04-11T19:11:36.583-05:00
1775952696593995300,0.464995361328125,35.56184387207031,-32.83827209472656,1.7050628662109375,2026-04-11T19:11:36.593-05:00
1775952696604052500,0.475052490234375,35.609710693359375,-32.7689323425293,1.6096878051757812,2026-04-11T19:11:36.604-05:00
1775952696614109400,0.485109375,35.511085510253906,-32.79963684082031,1.6521072387695312,2026-04-11T19:11:36.614-05:00
1775952696624166700,0.495166748046875,35.77379608154297,-32.7411994934082,1.3483734130859375,2026-04-11T19:11:36.624-05:00
1775952696634223600,0.5052236328125,35.74372863769531,-32.617462158203125,1.524169921875,2026-04-11T19:11:36.634-05:00
