time,seconds_elapsed,z,y,x,local_time
1775952696206870300,0.077870361328125,108.46012878417969,-22.358245849609375,91.43190002441406,2026-04-11T19:11:36.206-05:00
1775952696217306400,0.088306396484375,108.07388305664062,-22.75616455078125,91.84147644042969,2026-04-11T19:11:36.217-05:00
1775952696227742500,0.098742431640625,108.40959167480469,-22.94476318359375,92.07196044921875,2026-04-11T19:11:36.227-05:00
1775952696238177300,0.10917724609375,108.13201904296875,-23.2198486328125,92.1434326171875,2026-04-11T19:11:36.238-05:00
1775952696248613400,0.11961328125,107.74763488769531,-23.431121826171875,92.58808898925781,2026-04-11T19:11:36.248-05:00
1775952696259050500,0.130050537109375,108.39944458007812,-23.536468505859375,92.77265930175781,2026-04-11T19:11:36.259-05:00
1775952696269486600,0.140486572265625,107.57279968261719,-23.782333374023438,93.16552734375,2026-04-11T19:11:36.269-05:00
1775952696279922400,0.15092236328125,107.751220703125,-23.697174072265625,93.46784973144531,2026-04-11T19:11:36.279-05:00
1775952696290357500,0.161357421875,107.95361328125,-24.018692016601562,93.22151184082031,2026-04-11T19:11:36.290-05:00
1775952696300792600,0.17179248046875,107.22386169433594,-23.844406127929688,93.49273681640625,2026-04-11T19:11:36.300-05:00
1775952696311227400,0.182227294921875,107.89117431640625,-23.65887451171875,93.44061279296875,2026-04-11T19:11:36.311-05:00
1775952696321662500,0.192662353515625,107.73031616210938,-23.700271606445312,93.44732666015625,2026-04-11T19:11:36.321-05:00
1775952696332097300,0.20309716796875,107.22261047363281,-23.62115478515625,93.55101013183594,2026-04-11T19:11:36.332-05:00
1775952696342533400,0.213533447265625,107.95341491699219,-23.773162841796875,93.36476135253906,2026-04-11T19:11:36.342-05:00
1775952696352968400,0.223968505859375,107.71504211425781,-23.768646240234375,93.65335083007812,2026-04-11T19:11:36.352-05:00
1775952696363403300,0.2344033203125,107.5784912109375,-23.812530517578125,93.51902770996094,2026-04-11T19:11:36.363-05:00
1775952696373838600,0.244838623046875,107.96641540527344,-23.982696533203125,93.78590393066406,2026-04-11T19:11:36.373-05:00
1775952696384274400,0.2552744140625,107.21630859375,-23.997283935546875,93.90359497070312,2026-04-11T19:11:36.384-05:00
1775952696394710300,0.265710205078125,107.44425964355469,-24.0185546875,93.84112548828125,2026-04-11T19:11:36.394-05:00
1775952696405146400,0.276146484375,107.14717102050781,-24.047744750976562,93.90768432617188,2026-04-11T19:11:36.405-05:00
1775952696415581400,0.28658154296875,106.88623046875,-24.186477661132812,94.04740905761719,2026-04-11T19:11:36.415-05:00
1775952696426016300,0.297016357421875,107.3138427734375,-24.413986206054688,94.06166076660156,2026-04-11T19:11:36.426-05:00
1775952696436452400,0.307452392578125,106.82456970214844,-24.451873779296875,94.08555603027344,2026-04-11T19:11:36.436-05:00
1775952696446888400,0.317888427734375,106.88233947753906,-24.417831420898438,94.03677368164062,2026-04-11T19:11:36.446-05:00
1775952696457323300,0.3283232421875,106.70758056640625,-24.60174560546875,94.24055480957031,2026-04-11T19:11:36.457-05:00
1775952696467759400,0.33875927734375,106.33961486816406,-24.642776489257812,94.49407958984375,2026-04-11T19:11:36.467-05:00
1775952696478196500,0.349196533203125,106.79011535644531,-24.580780029296875,94.22613525390625,2026-04-11T19:11:36.478-05:00
1775952696488633300,0.35963330078125,106.42987060546875,-24.50048828125,94.40771484375,2026-04-11T19:11:36.488-05:00
1775952696499069400,0.3700693359375,106.34170532226562,-24.564773559570312,94.58647155761719,2026-04-11T19:11:36.499-05:00
1775952696509505300,0.38050537109375,107.29432678222656,-24.978485107421875,94.4906005859375,2026-04-11T19:11:36.509-05:00
1775952696519940400,0.3909404296875,106.84048461914062,-24.849472045898438,94.71641540527344,2026-04-11T19:11:36.519-05:00
1775952696530377500,0.40137744140625,106.74458312988281,-25.062744140625,94.60153198242188,2026-04-11T19:11:36.530-05:00
1775952696540813600,0.4118134765625,106.968994140625,-25.197265625,94.4754638671875,2026-04-11T19:11:36.540-05:00
1775952696551248400,0.422248291015625,106.16085815429688,-25.033905029296875,94.73310852050781,2026-04-11T19:11:36.551-05:00
1775952696561684500,0.4326845703125,106.60105895996094,-24.992218017578125,94.53704833984375,2026-04-11T19:11:36.561-05:00
1775952696572119600,0.44311962890625,106.50146484375,-24.992446899414062,94.48902893066406,2026-04-11T19:11:36.572-05:00
1775952696582556400,0.453556396484375,106.29693603515625,-25.005508422851562,94.5538330078125,2026-04-11T19:11:36.582-05:00
1775952696592991500,0.463991455078125,106.50799560546875,-25.1683349609375,94.40943908691406,2026-04-11T19:11:36.592-05:00
1775952696603428400,0.474428466796875,106.5322265625,-25.02447509765625,94.31394958496094,2026-04-11T19:11:36.603-05:00
