time,seconds_elapsed,activity
1772547795572000000,0.079,unknown
1772547798053000000,2.56,unknown
1772547800381000000,4.888,walking
1772547802892000000,7.399,walking
1772547836289000000,40.796,walking
1772547838857000000,43.364,walking
1772547841429000000,45.936,walking
