time,seconds_elapsed,z,y,x
1772547795598739700,0.10573974609375,-9.44105201626718,-2.6385329790890215,-0.273975766693335
1772547795608777700,0.11577783203125,-9.433522789806126,-2.6746377271711825,-0.15919018927458672
1772547795618815700,0.125815673828125,-9.418118299925327,-2.7325530327841636,-0.05081997705716639
1772547795628853800,0.135853759765625,-9.397121689125894,-2.804040059892833,0.04301169162613805
1772547795638891800,0.145891845703125,-9.374082174322009,-2.877679881121218,0.12620533591178246
1772547795648929500,0.155929443359375,-9.351758114311098,-2.9445483085185287,0.2112777751147747
1772547795658967800,0.1659677734375,-9.331749345505237,-2.999050883078575,0.30745277835410084
1772547795669005600,0.176005615234375,-9.314576676908136,-3.038493543411791,0.4202454831888899
1772547795679043800,0.1860439453125,-9.298879341560601,-3.0648876293405887,0.5546993271464482
1772547795689081600,0.19608154296875,-9.283263254755735,-3.082211396846175,0.7009850997276603
1772547795699119900,0.206119873046875,-9.267733677190542,-3.0899130572646856,0.8555291071642189
1772547795709157600,0.21615771484375,-9.253498815611005,-3.0833681656658647,1.0178360767524688
1772547795719195600,0.226195556640625,-9.242396406838298,-3.062112319408357,1.1713095323480665
1772547795729233700,0.236233642578125,-9.235496125930547,-3.0304288948997855,1.3009601407423614
1772547795739271700,0.246271728515625,-9.228844266825913,-3.014536036980152,1.382529001404345
1772547795749309700,0.256309814453125,-9.2076483340621,-3.0309888668701053,1.484150616144389
1772547795759347700,0.26634765625,-9.164784759369493,-3.0710373841419814,1.657054821462184
1772547795769385700,0.2763857421875,-9.097748281928896,-3.1214307698175308,1.912596831847727
1772547795779423700,0.286423828125,-9.002536680361628,-3.173872612455487,2.247498794674128
1772547795789461500,0.29646142578125,-8.88565451425612,-3.2200843285322187,2.6165970416128634
1772547795799499800,0.306499755859375,-8.766288130119442,-3.241865075446665,2.9686504841178656
1772547795809537500,0.31653759765625,-8.663842485645413,-3.214674870704114,3.282389978058636
1772547795819575800,0.326575927734375,-8.58001561692357,-3.133329297403991,3.568747251816094
1772547795829613600,0.336613525390625,-8.511613696348666,-3.0033102940887213,3.834442553555965
1772547795839651800,0.34665185546875,-8.468447923839092,-2.8286013774365184,4.0564503969997165
1772547795849689600,0.356689697265625,-8.45931184670329,-2.6201608715742823,4.212503128498793
1772547795859727600,0.3667275390625,-8.483123514923452,-2.3934197159983217,4.298666915735602
1772547795869765600,0.376765625,-8.521480425846576,-2.1710222887150943,4.340669781945645
1772547795879803600,0.3868037109375,-8.534334646722673,-1.974298962523043,4.408815681932866
1772547795889842000,0.396842041015625,-8.536448277875781,-1.8277954190053045,4.467504894527793
1772547795899879700,0.406879638671875,-8.534763101267814,-1.764004937748611,4.496275354199112
1772547795909918000,0.41691796875,-8.526872640278935,-1.7842863860160112,4.503237886688113
1772547795919955700,0.426955810546875,-8.511153677621483,-1.8650556207329034,4.500246303656697
1772547795929993700,0.43699365234375,-8.490089262282847,-1.975313400262594,4.492984495960176
1772547795940031700,0.44703173828125,-8.45683172032535,-2.081811973389238,4.5075975432023405
1772547795950069800,0.45706982421875,-8.409765433245896,-2.143947380915284,4.56614939315319
1772547795960107800,0.467107666015625,-8.349637420019507,-2.120697730492055,4.685784949620068
1772547795970145800,0.477145751953125,-8.259305991709232,-1.9909512605078517,4.897995621670782
1772547795980183600,0.48718359375,-8.125521790641546,-1.746660127454996,5.205329924744367
1772547795990221800,0.497221923828125,-7.947522015750407,-1.3949996297903358,5.573262488904595
1772547796000259600,0.507259521484375,-7.734685905277728,-0.9710494833972304,5.949964634975791
1772547796010297900,0.5172978515625,-7.509394217857718,-0.5127142523214221,6.286215528193116
1772547796020335600,0.527335693359375,-7.290802904859185,-0.05528417165810242,6.5583168975830075
1772547796030374000,0.537373779296875,-7.096466912195086,0.3558601413115859,6.75898676944375
1772547796040411600,0.54741162109375,-6.9558128253579135,0.7199583149407058,6.875224792426824
1772547796050449700,0.55744970703125,-6.887167159155011,1.077550394611433,6.897550606003403
1772547796060487700,0.56748779296875,-6.872835266941785,1.4734760773949325,6.838376532500982
1772547796070525700,0.577525634765625,-6.888966317531466,1.9423096869356928,6.70372782355845
1772547796080563700,0.587563720703125,-6.923123438677191,2.487181557148695,6.484958231383562
1772547796090601700,0.597601806640625,-6.948529682612419,3.0873411609500643,6.1932742096453905
1772547796100643000,0.60764306640625,-6.936934521886706,3.7269746970057485,5.844568908524513
1772547796110681000,0.61768115234375,-6.855222453361749,4.390473385034501,5.468094725990295
1772547796120719000,0.627718994140625,-6.687819475808739,5.050257436454296,5.092970204499363
1772547796130757000,0.637757080078125,-6.444471322694421,5.673703223296999,4.737959081232548
1772547796140795000,0.647794921875,-6.156881292271613,6.238638953503966,4.398021316196024
1772547796150833200,0.657833251953125,-5.866511860263348,6.746595489904284,4.029625226177275
1772547796160871000,0.667870849609375,-5.586370976802707,7.210906361323595,3.6007884037211535
1772547796170909200,0.6779091796875,-5.293190579026938,7.636420176836848,3.136497406046092
1772547796180947000,0.687947021484375,-4.95849217594862,8.02054984256029,2.6934204613134263
1772547796190985200,0.697985107421875,-4.562330711647868,8.368156827050447,2.308563211967796
1772547796201023000,0.70802294921875,-4.098660768480599,8.681063085037469,2.00262460103631
1772547796211061000,0.71806103515625,-3.581266249388456,8.954102612060307,1.7801544007778167
1772547796221099300,0.728099365234375,-3.036244595441222,9.179047093477845,1.6421617882348596
1772547796231137000,0.738136962890625,-2.4869524245679377,9.352229823476076,1.5878380773730576
1772547796241175300,0.74817529296875,-1.9469471374779939,9.47635713840425,1.605749727769196
1772547796251213000,0.758213134765625,-1.4246081477209924,9.556110474076867,1.6797757718361914
1772547796261251000,0.7682509765625,-0.9199717687193304,9.598258593976498,1.7881472992278635
1772547796271289000,0.7782890625,-0.4459067247984931,9.609520577225089,1.9049023318223655
1772547796281327000,0.7883271484375,-0.0028906690945877927,9.596147885432838,2.0209647059775886
