time,seconds_elapsed,relativeAltitude,pressure
1772547795010146600,-0.482853515625,0,998.2525634765625
1772547796013950700,0.52095068359375,-0.0739898681640625,998.2614135742188
1772547797017760800,1.5247607421875,-0.1506195068359375,998.2703399658203
1772547798021605600,2.528605712890625,-0.2959442138671875,998.2877349853516
1772547799023988700,3.53098876953125,-0.393707275390625,998.2994079589844
1772547800027607600,4.534607666015625,-0.4544830322265625,998.3065795898438
1772547800575706600,5.08270654296875,-0.46240997314453125,998.3072662353516
1772547801579508700,6.0865087890625,-0.4994049072265625,998.3119201660156
1772547802583313700,7.090313720703125,-0.5046844482421875,998.3123779296875
1772547803587113700,8.09411376953125,-0.5099716186523438,998.31298828125
1772547804590915600,9.09791552734375,-0.5099716186523438,998.3130645751953
1772547805594203600,10.10120361328125,-0.5284652709960938,998.3153533935547
1772547806597452500,11.10445263671875,-0.5284652709960938,998.3153533935547
1772547807601059600,12.1080595703125,-0.5390396118164062,998.3164215087891
1772547808604854800,13.111854736328125,-0.5390396118164062,998.3164215087891
1772547809608454700,14.11545458984375,-0.5760269165039062,998.3209228515625
1772547810611390700,15.118390625,-0.5760269165039062,998.3209228515625
1772547811614999800,16.121999755859374,-0.5760269165039062,998.3209228515625
1772547812618802000,17.125802001953126,-0.6050949096679688,998.3242034912109
1772547813622596900,18.129596923828124,-0.6050949096679688,998.3242034912109
1772547814626398700,19.133398681640625,-0.5892410278320312,998.3225250244141
1772547815630187800,20.137187744140626,-0.5892410278320312,998.3225250244141
1772547816633980000,21.14097998046875,-0.61566162109375,998.3255767822266
1772547817637767700,22.144767578125,-0.61566162109375,998.3255767822266
1772547818641559600,23.1485595703125,-0.61566162109375,998.3255767822266
1772547819645353700,24.152353759765624,-0.6526565551757812,998.3299255371094
1772547820649144600,25.15614453125,-0.6711502075195312,998.3322143554688
1772547821652931600,26.159931640625,-0.6870040893554688,998.3339691162109
1772547822656720600,27.163720703125,-0.6975784301757812,998.3354187011719
1772547823660511700,28.16751171875,-0.7319259643554688,998.3395385742188
1772547824664310800,29.171310791015625,-0.7319259643554688,998.3395385742188
1772547825668119600,30.17511962890625,-0.7266387939453125,998.3388519287109
1772547826671928600,31.178928466796876,-0.7266387939453125,998.3388519287109
1772547827675739600,32.18273974609375,-0.7477798461914062,998.3411407470703
1772547828679562800,33.18656274414062,-0.7477798461914062,998.3411407470703
1772547829683373600,34.19037353515625,-0.7477798461914062,998.3411407470703
1772547830687602700,35.19460278320312,-0.7477798461914062,998.3411407470703
1772547831690995700,36.19799560546875,-0.7477798461914062,998.3411407470703
1772547832694810600,37.201810546875,-0.7028579711914062,998.3358001708984
1772547833698620700,38.20562060546875,-0.692291259765625,998.3347320556641
1772547834702431700,39.209431640625,-0.6843643188476562,998.333740234375
1772547835706234600,40.21323461914063,-0.6843643188476562,998.333740234375
1772547836710038800,41.21703881835938,-0.6526565551757812,998.3298492431641
1772547837713930500,42.22093041992188,-0.6526565551757812,998.3298492431641
1772547838717630700,43.224630615234375,-0.6341629028320312,998.3277130126953
1772547839721441800,44.22844189453125,-0.5284652709960938,998.3152770996094
1772547840725254000,45.23225390625,-0.4359893798828125,998.3041381835938
1772547841729073000,46.23607299804687,-0.33557891845703125,998.2924652099609
