time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1772547780676667000,-14.8163330078125,129.9060036789909,-1,-1,30.28141020997444,156.3566167008415,-1,17.511067599076867,30,-97.73239898003129,-1
1772547795587151000,0.094151123046875,129.9060036789909,-1,-1,30.28141020997444,156.3566167008415,-1,17.511067599076867,30,-97.73239898003129,-1
1772547795591082000,0.09808203125,129.9060036789909,-1,-1,30.281410209994814,156.3566167008415,-1,17.83360771791464,30,-97.73239898000645,-1
1772547795752424000,0.259423828125,129.90976497049482,-1,-1,30.28141020994049,156.3603779923454,-1,17.833977124952273,30.000000000132456,-97.73239898007269,-1
1772547801516538000,6.0235380859375,129.9060036789909,-1,-1,30.281410209974485,156.3566167008415,-1,17.41618894396251,30,-97.73239898003123,-1
1772547801745631000,6.252630859375,129.9060036789909,-1,-1,30.28141020997456,156.3566167008415,-1,17.434328025325218,30,-97.73239898003115,-1
1772547807521043000,12.02804296875,129.9060036789909,-1,-1,30.281410209989524,156.3566167008415,-1,17.637085430548314,30,-97.73239898001295,-1
1772547807765100000,12.27210009765625,129.9060036789909,-1,-1,30.28141020998955,156.3566167008415,-1,17.650110349485168,30,-97.7323989800129,-1
1772547813521494800,18.028494873046874,129.9060036789909,-1,-1,30.281410209995833,156.3566167008415,-1,17.864082921604652,30,-97.73239898000521,-1
1772547813782014000,18.289013916015627,129.9060036789909,-1,-1,30.28141020999585,156.3566167008415,-1,17.884891031665912,30,-97.73239898000519,-1
1772547819520258000,24.027258056640626,129.9060036789909,-1,-1,30.281410209998306,156.3566167008415,-1,17.656351737865965,30,-97.7323989800022,-1
1772547819793689000,24.300689208984377,129.9060036789909,-1,-1,30.281410209998313,156.3566167008415,-1,17.67872722763943,30,-97.7323989800022,-1
1772547825520027100,30.027027099609374,129.9060036789909,-1,-1,30.281410209999336,156.3566167008415,-1,17.684661154410716,30,-97.73239898000092,-1
1772547825802313000,30.30931298828125,129.9060036789909,-1,-1,30.281410209999343,156.3566167008415,-1,17.706357791119284,30,-97.73239898000091,-1
1772547831520738000,36.02773803710937,129.9060036789909,-1,-1,30.281410209999777,156.3566167008415,-1,17.872439291021585,30,-97.7323989800004,-1
1772547831811012000,36.31801220703125,129.9060036789909,-1,-1,30.281410209999784,156.3566167008415,-1,17.889602657216358,30,-97.73239898000041,-1
1772547837520861200,42.02786108398438,129.9060036789909,-1,-1,30.28141020999994,156.3566167008415,-1,17.649350790328153,30,-97.7323989800002,-1
1772547837822073900,42.32907397460937,129.9060036789909,-1,-1,30.28141020999994,156.3566167008415,-1,17.681042376226173,30,-97.73239898000018,-1
1772547843519845000,48.02684521484375,129.9060036789909,-1,-1,30.28141021000001,156.3566167008415,-1,17.697808152581427,30,-97.7323989800001,-1
1772547843854441200,48.36144116210937,129.9060036789909,-1,-1,30.28141021000001,156.3566167008415,-1,17.726022573052102,30,-97.73239898000008,-1
