time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch,local_time
1775952797736094200,0.09009423828125,-2.6956320686078032,0.1000741119843504,-0.9375377730745198,0.08952737230071793,0.22462635645246593,-0.2460713422686346,0.5309594432249926,2026-04-11T19:13:17.736-05:00
1775952797746151200,0.100151123046875,-2.7049065799008454,0.09976152083913586,-0.9382281465383663,0.09086062020650605,0.2204260562777712,-0.24736196405137445,0.5330284549838225,2026-04-11T19:13:17.746-05:00
1775952797756208000,0.1102080078125,-2.71380463659707,0.1004640740630257,-0.938703815108984,0.09419714458975476,0.21664848273914464,-0.24860724563785613,0.5354962888113806,2026-04-11T19:13:17.756-05:00
1775952797766265000,0.12026513671875,-2.722108118320066,0.10219971062836072,-0.938899761530898,0.09945189476014495,0.2133896103678766,-0.2499746216633191,0.5386981383021909,2026-04-11T19:13:17.766-05:00
1775952797776321300,0.1303212890625,-2.729549051472816,0.10414723262508635,-0.9388703275107468,0.10479900751270373,0.2105532589647917,-0.25168058576128705,0.54269768566325,2026-04-11T19:13:17.776-05:00
1775952797786378200,0.140378173828125,-2.735945129735552,0.10588905148720106,-0.9386583526508132,0.10932379639400029,0.20811316150349546,-0.2537654212966004,0.5474034831444847,2026-04-11T19:13:17.786-05:00
1775952797796435200,0.150435302734375,-2.7412252462716142,0.10706683329430271,-0.9383334216099801,0.11229070401866037,0.206008447572412,-0.25617892454576124,0.5525692357193889,2026-04-11T19:13:17.796-05:00
1775952797806492200,0.1604921875,-2.745133995871386,0.10776704113137074,-0.937955811769142,0.11393304188068293,0.2043842066159982,-0.25855803608898714,0.5575204876017351,2026-04-11T19:13:17.806-05:00
1775952797816548000,0.170548095703125,-2.74830728668495,0.10839798806977498,-0.9376632671720317,0.11545755999281754,0.20309393027548897,-0.2603658048186889,0.5613161463793551,2026-04-11T19:13:17.816-05:00
1775952797826605000,0.18060498046875,-2.751293763410828,0.10932065762494197,-0.9375015141574156,0.11782450260698575,0.20200381241692375,-0.2614083831512922,0.5636887500381921,2026-04-11T19:13:17.826-05:00
1775952797836662000,0.190662109375,-2.75495881787336,0.1107448620508221,-0.9374864600130149,0.12166638896426618,0.2007900530218818,-0.26179790069300496,0.5649065747401635,2026-04-11T19:13:17.836-05:00
1775952797846719200,0.20071923828125,-2.758851131537715,0.11263566369536974,-0.937501539161382,0.12666850591041504,0.19962210646268252,-0.2618303290708454,0.5655755258758945,2026-04-11T19:13:17.846-05:00
1775952797856775200,0.210775146484375,-2.7603480771334636,0.11351773372076936,-0.9373534266167803,0.1287477716768667,0.19919751399569008,-0.26230283433175944,0.5668362897715147,2026-04-11T19:13:17.856-05:00
1775952797866832400,0.220832275390625,-2.7604474477845247,0.11320126950841497,-0.937246759982094,0.12789906632911366,0.19904378988593688,-0.26293642371204656,0.5679875123940687,2026-04-11T19:13:17.866-05:00
1775952797876889300,0.230889404296875,-2.7623195310472926,0.11305193923990892,-0.9375112002384547,0.12822337079967014,0.19820645828357236,-0.2626904938765945,0.5673105026873941,2026-04-11T19:13:17.876-05:00
1775952797886946300,0.2409462890625,-2.764008203318954,0.11329788353121821,-0.9379588512672707,0.12965959285616116,0.19759226353839143,-0.2614460060220223,0.5647738060399599,2026-04-11T19:13:17.886-05:00
1775952797897002200,0.251002197265625,-2.7645792517498156,0.11324004831630512,-0.9387015588851605,0.13059509364104943,0.19742145723468818,-0.25892255848284146,0.5595608200740746,2026-04-11T19:13:17.897-05:00
1775952797907059200,0.26105908203125,-2.764876972625951,0.11231543331150219,-0.9398835434306426,0.13009203529231367,0.1971758534620976,-0.2551978315425852,0.5515456014363411,2026-04-11T19:13:17.907-05:00
