time,seconds_elapsed,relativeAltitude,pressure,local_time
1775952797142344000,-0.503656005859375,0,995.4861450195312,2026-04-11T19:13:17.142-05:00
1775952798147300900,0.50130078125,-0.134765625,995.5020904541016,2026-04-11T19:13:18.147-05:00
1775952799152219600,1.5062197265625,-0.2695159912109375,995.5180358886719,2026-04-11T19:13:19.152-05:00
1775952800157161700,2.51116162109375,-0.539031982421875,995.5499267578125,2026-04-11T19:13:20.157-05:00
1775952801162086700,3.516086669921875,-0.6447296142578125,995.5622863769531,2026-04-11T19:13:21.162-05:00
1775952801514225700,3.8682255859375,-0.8666839599609375,995.5888366699219,2026-04-11T19:13:21.514-05:00
1775952802586153700,4.94015380859375,-0.9485931396484375,995.5983734130859,2026-04-11T19:13:22.586-05:00
1775952803658126600,6.012126708984375,-1.080718994140625,995.6141662597656,2026-04-11T19:13:23.658-05:00
1775952804730084600,7.084084716796875,-1.162628173828125,995.6238555908203,2026-04-11T19:13:24.730-05:00
1775952805802026800,8.15602685546875,-1.244537353515625,995.633544921875,2026-04-11T19:13:25.802-05:00
1775952806873978600,9.227978515625,-1.244537353515625,995.633544921875,2026-04-11T19:13:26.873-05:00
1775952807945901600,10.299901611328124,-1.244537353515625,995.6334686279297,2026-04-11T19:13:27.945-05:00
1775952809017808000,11.371807861328126,-1.218109130859375,995.6304168701172,2026-04-11T19:13:29.017-05:00
1775952810089690600,12.443690673828126,-1.218109130859375,995.6304168701172,2026-04-11T19:13:30.089-05:00
1775952811161608700,13.515608642578124,-1.22076416015625,995.6307220458984,2026-04-11T19:13:31.161-05:00
1775952812233453800,14.587453857421876,-1.2234039306640625,995.6310272216797,2026-04-11T19:13:32.233-05:00
1775952813305292500,15.65929248046875,-1.2418975830078125,995.6332397460938,2026-04-11T19:13:33.305-05:00
1775952814377195800,16.73119580078125,-1.2418975830078125,995.6332397460938,2026-04-11T19:13:34.377-05:00
1775952815449104600,17.803104736328127,-1.2392578125,995.6329345703125,2026-04-11T19:13:35.449-05:00
1775952816521009700,18.875009765625,-1.2392578125,995.6329345703125,2026-04-11T19:13:36.521-05:00
1775952817592916700,19.946916748046874,-1.2313232421875,995.6317901611328,2026-04-11T19:13:37.592-05:00
1775952818664809700,21.018809814453125,-1.2049102783203125,995.6288909912109,2026-04-11T19:13:38.664-05:00
1775952819736675800,22.09067578125,-1.1784820556640625,995.6256103515625,2026-04-11T19:13:39.736-05:00
1775952820808561700,23.162561767578126,-1.144134521484375,995.6215667724609,2026-04-11T19:13:40.808-05:00
1775952821880448500,24.234448486328127,-1.1018524169921875,995.6163787841797,2026-04-11T19:13:41.880-05:00
1775952822952350700,25.306350830078124,-1.04901123046875,995.6101226806641,2026-04-11T19:13:42.952-05:00
1775952824024235800,26.37823583984375,-0.99615478515625,995.6040954589844,2026-04-11T19:13:44.024-05:00
1775952825096142800,27.450142822265626,-0.9776611328125,995.6019592285156,2026-04-11T19:13:45.096-05:00
1775952826168028700,28.522028564453127,-0.95916748046875,995.5997467041016,2026-04-11T19:13:46.168-05:00
1775952827239892700,29.593892822265627,-0.9433135986328125,995.5977630615234,2026-04-11T19:13:47.239-05:00
1775952828311774700,30.665774658203127,-0.940673828125,995.5975341796875,2026-04-11T19:13:48.311-05:00
1775952829383680500,31.737680419921876,-0.940673828125,995.5973815917969,2026-04-11T19:13:49.383-05:00
1775952830455555800,32.80955590820312,-0.9300994873046875,995.5960845947266,2026-04-11T19:13:50.455-05:00
1775952831527415800,33.88141577148438,-0.919525146484375,995.5950164794922,2026-04-11T19:13:51.527-05:00
1775952832599282700,34.95328271484375,-0.919525146484375,995.5950164794922,2026-04-11T19:13:52.599-05:00
1775952833671176700,36.0251767578125,-0.9327392578125,995.5963897705078,2026-04-11T19:13:53.671-05:00
1775952834743006700,37.0970068359375,-0.964447021484375,995.6002807617188,2026-04-11T19:13:54.743-05:00
1775952835814875600,38.168875732421874,-0.9935150146484375,995.6037902832031,2026-04-11T19:13:55.814-05:00
1775952836886754800,39.2407548828125,-1.0384368896484375,995.6089782714844,2026-04-11T19:13:56.886-05:00
1775952837958600700,40.3126005859375,-1.04107666015625,995.6092071533203,2026-04-11T19:13:57.958-05:00
1775952839030458600,41.38445874023437,-1.04107666015625,995.6092071533203,2026-04-11T19:13:59.030-05:00
1775952840102288000,42.45628784179687,-0.9882354736328125,995.60302734375,2026-04-11T19:14:00.102-05:00
1775952841174141700,43.5281416015625,-0.8878173828125,995.5912017822266,2026-04-11T19:14:01.174-05:00
1775952842245988600,44.59998852539063,-0.8032684326171875,995.5812835693359,2026-04-11T19:14:02.245-05:00
