time,seconds_elapsed,activity,local_time
1775952797727000000,0.081,unknown,2026-04-11T19:13:17.727-05:00
1775952800733999900,3.087999755859375,unknown,2026-04-11T19:13:20.733-05:00
1775952808147000000,10.501,unknown,2026-04-11T19:13:28.147-05:00
1775952835812000000,38.166,unknown,2026-04-11T19:13:55.812-05:00
1775952839040000000,41.394,unknown,2026-04-11T19:13:59.040-05:00
1775952841927000000,44.281,unknown,2026-04-11T19:14:01.927-05:00
