time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1772548035738410200,0.08641015625,-3.050221699497433,0.09589867418309234,-0.9858007429144395,0.18193081012124135,0.05691950641978984,-0.1255406087575148,0.2613998091973965
1772548035748447200,0.096447265625,-3.052838858603967,0.09503930584813633,-0.986099626415722,0.18060013846986536,0.05544423653364515,-0.12450324519623904,0.25896889995398253
1772548035758484200,0.106484130859375,-3.055216482111153,0.09403885494967525,-0.9865464613017046,0.17901972497834412,0.053978988518494066,-0.12234798918945394,0.2542878218912973
1772548035768522200,0.116522216796875,-3.056825988843546,0.09345957826631876,-0.9870493286692343,0.17825088593099003,0.052864072480990905,-0.11918213956918018,0.24768329134248254
1772548035778559200,0.126559326171875,-3.0570103803179394,0.09383062896605,-0.9874953719504104,0.17927061672091438,0.052505921773981716,-0.11529026793938726,0.23984342819187532
1772548035788596200,0.13659619140625,-3.0555323134931944,0.0951947451520997,-0.9878318341389392,0.1821341402025597,0.053040273844434736,-0.11096352331249375,0.23138405461569184
1772548035798633200,0.14663330078125,-3.0525693491764634,0.0970113882088985,-0.9880852295143542,0.18577559971191485,0.05432650868285647,-0.10641951833939453,0.22267943304705118
1772548035808670000,0.156669921875,-3.048707709772993,0.09817228321018888,-0.9883380238222095,0.18801077718979317,0.055986381107180024,-0.10205741675367247,0.2143650691699221
1772548035818707200,0.166707275390625,-3.045200189754652,0.09861681354912882,-0.9886152838046937,0.1888418109400049,0.05742224889380889,-0.09806833733897022,0.20669800156514537
1772548035828745200,0.1767451171875,-3.0421218073808936,0.09970572444189428,-0.988825374581742,0.19105106457123314,0.058703244882640476,-0.09400672968729029,0.19892799289759297
1772548035838782000,0.186781982421875,-3.037852671108543,0.10272523389669824,-0.9888874717399162,0.1971723729239135,0.060642260117100825,-0.08872133895797424,0.18905398701865228
1772548035848819200,0.196819091796875,-3.0315933933842096,0.10832464827286219,-0.9887294595363421,0.20854611649036517,0.06358448383888064,-0.0814666729885758,0.17577630460779609
1772548035858856200,0.206856201171875,-3.023905897158116,0.11761188991126792,-0.9881096355461085,0.22748916464714522,0.06730120362950066,-0.07264486504164365,0.1600757876024652
1772548035868893200,0.21689306640625,-3.016505274690257,0.13035583547138457,-0.9869089034959297,0.2536362748632499,0.07090157371586334,-0.06317650777643977,0.14367760267416116
1772548035878931000,0.226930908203125,-3.009831388340094,0.14398320353292046,-0.9853175631266556,0.28171641119317975,0.0740384333181885,-0.05419011238589893,0.1284625574770003
1772548035888968200,0.23696826171875,-3.0051154143165153,0.15605313963658152,-0.9837065350225649,0.30672813474646676,0.07609464435130614,-0.04667448302555539,0.11583648124966593
1772548035899005200,0.247005126953125,-3.0032879689728427,0.16647061893404666,-0.9822267940779732,0.3284741573448637,0.07665756584823301,-0.040517160484265416,0.10531109574874284
1772548035909042200,0.257042236328125,-3.0029019394699397,0.1760647868224205,-0.9808122725884818,0.34866945538465316,0.07633255322332452,-0.03437808054835092,0.09445622948464873
1772548035919079200,0.2670791015625,-3.003316273626685,0.18629216074740396,-0.9792227325644233,0.3703467232755141,0.07533250055411579,-0.02725948897494454,0.08154427213799378
1772548035929117200,0.2771171875,-3.0059672738014913,0.1977448492031098,-0.9773339452225019,0.39469443115286246,0.07299575006180821,-0.019669776164647084,0.06736789294079422
1772548035939154200,0.287154296875,-3.012222455049516,0.2101676182395546,-0.9751476780407929,0.4210176661748862,0.06887883879800878,-0.01312413693614957,0.05457523393638229
1772548035949191200,0.297191162109375,-3.0213382242189466,0.22173793914682013,-0.9729991812224574,0.4454427031284751,0.06351078491878862,-0.008447936998160079,0.04461997718075284
