time,seconds_elapsed,steps
1772548057244419800,21.592419921875,2
1772548059813986800,24.16198681640625,2
1772548062383554000,26.731553955078127,2
1772548064953119200,29.301119140625,2
1772548067522684000,31.870683837890624,2
1772548070092260000,34.44026000976562,2
1772548072661848600,37.0098486328125,2
1772548075231442000,39.57944189453125,2
1772548077801040600,42.14904052734375,2
1772548080370644500,44.71864453125,2
1772548082940237800,47.28823779296875,2
1772548085509834200,49.85783422851563,2
1772548088079444000,52.42744384765625,2
1772548090649091800,54.997091796875,2
