absolute_timestamp,gyro_x,gyro_y,gyro_z
1775859187200,0.002,0.008,0.005
1775859187219,0.000,0.005,0.003
1775859187239,-0.001,0.003,0.004
1775859187259,-0.002,0.000,0.003
1775859187279,-0.003,-0.001,0.002
1775859187299,-0.003,-0.002,0.001
1775859187318,-0.003,-0.002,0.000
1775859187338,-0.005,-0.001,-0.001
1775859187358,-0.006,-0.002,-0.003
1775859187378,-0.006,-0.004,-0.004
1775859187397,-0.006,-0.005,-0.004
1775859187417,-0.005,-0.006,-0.004
1775859187437,-0.005,-0.007,-0.004
1775859187457,-0.004,-0.008,-0.005
1775859187477,-0.004,-0.009,-0.005
1775859187496,-0.005,-0.009,-0.002
1775859187516,-0.004,-0.007,-0.000
1775859187536,-0.004,-0.006,-0.009
1775859187556,-0.007,-0.009,-0.003
1775859187575,-0.010,-0.005,0.000
1775859187595,-0.011,-0.005,-0.006
1775859187615,-0.011,-0.012,-0.014
1775859187635,-0.013,-0.016,-0.016
1775859187654,-0.013,-0.015,-0.014
1775859187674,-0.012,-0.019,-0.017
1775859187694,-0.010,-0.026,-0.017
1775859187714,-0.011,-0.031,-0.017
1775859187734,-0.012,-0.034,-0.015
1775859187753,-0.012,-0.037,-0.012
1775859187773,-0.012,-0.036,-0.012
1775859187793,-0.013,-0.034,-0.014
1775859187813,-0.014,-0.031,-0.013
1775859187832,-0.015,-0.026,-0.013
1775859187852,-0.014,-0.022,-0.015
1775859187872,-0.013,-0.016,-0.019
1775859187892,-0.013,-0.011,-0.020
1775859187911,-0.011,-0.006,-0.020
1775859187931,-0.010,-0.003,-0.021
1775859187951,-0.011,-0.002,-0.021
1775859187971,-0.012,-0.003,-0.022
1775859187991,-0.014,-0.003,-0.021
1775859188010,-0.012,-0.004,-0.020
1775859188030,-0.009,-0.004,-0.017
1775859188050,-0.006,-0.004,-0.014
1775859188070,-0.008,-0.002,-0.012
1775859188089,-0.010,-0.000,-0.011
1775859188109,-0.012,-0.000,-0.009
1775859188129,-0.014,0.001,-0.004
1775859188149,-0.017,0.003,-0.009
1775859188169,-0.021,0.003,-0.008
1775859188188,-0.027,0.010,0.000
1775859188208,-0.030,0.017,-0.006
1775859188228,-0.031,0.021,-0.010
1775859188248,-0.032,0.030,-0.009
1775859188267,-0.032,0.042,0.000
1775859188287,-0.032,0.050,0.005
1775859188307,-0.033,0.053,0.006
1775859188327,-0.037,0.062,0.008
1775859188346,-0.043,0.072,0.011
1775859188366,-0.046,0.084,0.015
1775859188386,-0.036,0.094,0.017
1775859188406,-0.016,0.096,0.021
1775859188426,0.003,0.095,0.020
1775859188445,0.013,0.091,0.017
1775859188465,0.019,0.084,0.013
1775859188485,0.022,0.079,0.009
1775859188505,0.025,0.074,0.008
1775859188524,0.030,0.064,0.009
1775859188544,0.037,0.054,0.008
1775859188564,0.043,0.041,0.006
1775859188584,0.038,0.028,0.001
1775859188603,0.023,0.020,-0.002
1775859188623,0.013,0.010,-0.004
1775859188643,0.004,-0.002,-0.007
1775859188663,-0.005,-0.012,-0.008
1775859188683,-0.011,-0.015,-0.006
1775859188702,-0.007,-0.018,-0.005
1775859188722,-0.002,-0.017,-0.003
1775859188742,-0.003,-0.012,-0.009
1775859188762,-0.005,-0.012,-0.015
1775859188781,-0.008,-0.013,-0.006
1775859188801,-0.008,-0.010,-0.004
1775859188821,-0.007,-0.010,-0.006
1775859188841,-0.001,-0.009,-0.008
1775859188860,0.005,-0.006,-0.007
1775859188880,0.008,-0.003,-0.004
1775859188900,0.010,0.000,0.000
1775859188920,0.011,0.004,0.002
1775859188939,0.011,0.007,0.001
1775859188959,0.010,0.011,0.006
1775859188979,0.011,0.018,0.013
1775859188999,0.015,0.019,0.010
1775859189019,0.015,0.015,0.006
1775859189038,0.011,0.015,0.006
1775859189058,0.010,0.015,0.008
1775859189078,0.010,0.012,0.003
1775859189098,0.007,0.012,0.004
1775859189117,0.006,0.016,0.005
1775859189137,0.004,0.019,0.005
1775859189157,0.004,0.022,0.008
1775859189177,0.009,0.024,0.010
1775859189197,0.013,0.019,0.008
