absolute_timestamp,accel_x,accel_y,accel_z
1775859184056,-0.095,-0.922,-0.365
1775859184076,-0.099,-0.921,-0.375
1775859184096,-0.088,-0.909,-0.394
1775859184115,-0.101,-0.905,-0.383
1775859184135,-0.104,-0.916,-0.377
1775859184155,-0.106,-0.923,-0.373
1775859184175,-0.108,-0.918,-0.373
1775859184194,-0.112,-0.909,-0.381
1775859184214,-0.115,-0.917,-0.390
1775859184234,-0.119,-0.921,-0.385
1775859184254,-0.118,-0.916,-0.382
1775859184273,-0.119,-0.915,-0.380
1775859184293,-0.122,-0.912,-0.377
1775859184313,-0.128,-0.921,-0.374
1775859184333,-0.128,-0.919,-0.365
1775859184353,-0.131,-0.927,-0.362
1775859184372,-0.132,-0.921,-0.367
1775859184392,-0.130,-0.922,-0.373
1775859184412,-0.126,-0.922,-0.366
1775859184432,-0.127,-0.922,-0.362
1775859184451,-0.121,-0.920,-0.363
1775859184471,-0.118,-0.920,-0.370
1775859184491,-0.116,-0.925,-0.372
1775859184511,-0.115,-0.913,-0.367
1775859184531,-0.109,-0.922,-0.383
1775859184550,-0.105,-0.947,-0.365
1775859184570,-0.112,-0.895,-0.363
1775859184590,-0.109,-0.910,-0.397
1775859184610,-0.112,-0.932,-0.386
1775859184629,-0.110,-0.922,-0.361
1775859184649,-0.106,-0.923,-0.365
1775859184669,-0.102,-0.907,-0.371
1775859184689,-0.107,-0.911,-0.367
1775859184709,-0.111,-0.920,-0.365
1775859184728,-0.102,-0.926,-0.358
1775859184748,-0.103,-0.912,-0.361
1775859184768,-0.105,-0.917,-0.375
1775859184788,-0.108,-0.921,-0.372
1775859184807,-0.107,-0.924,-0.364
1775859184827,-0.106,-0.922,-0.365
1775859184847,-0.110,-0.919,-0.366
1775859184867,-0.106,-0.923,-0.362
1775859184887,-0.109,-0.925,-0.356
1775859184906,-0.113,-0.923,-0.355
1775859184926,-0.112,-0.930,-0.358
1775859184946,-0.115,-0.930,-0.354
1775859184966,-0.118,-0.928,-0.355
1775859184985,-0.122,-0.927,-0.355
1775859185005,-0.122,-0.935,-0.346
1775859185025,-0.129,-0.939,-0.338
1775859185045,-0.134,-0.929,-0.335
1775859185064,-0.133,-0.925,-0.332
1775859185084,-0.134,-0.926,-0.336
1775859185104,-0.128,-0.952,-0.331
1775859185124,-0.129,-0.934,-0.322
1775859185144,-0.124,-0.901,-0.350
1775859185163,-0.114,-0.941,-0.372
