time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1773522012798092800,-6.6599072265625,152.0544078109471,-1,-1,32.901818054391875,179.90697739102524,-1,21.227870269641812,3,-96.83497425545413,-1
1773522019545742000,0.0877421875,152.0544078109471,-1,-1,32.901818054391875,179.90697739102524,-1,21.227870269641812,3,-96.83497425545413,-1
1773522033362242000,13.904241943359375,152.05439827420395,-1,-1,32.901889036605084,179.90696785428207,-1,19.721515026249836,3.798352325494944,-96.83497781137025,-1
1773522040989420000,21.531419921875,152.05444023587387,-1,-1,32.90187806810733,179.907009815952,-1,17.8995268146828,3.948538627861749,-96.83500781839462,-1
1773522049427897000,29.96989697265625,152.05444023587387,-1,-1,32.9018753288632,179.907009815952,-1,17.113824977502997,4.124938199579111,-96.83501624043247,-1
1773522055843069200,36.38506909179687,152.05444595791977,-1,-1,32.90187404924635,179.9070155379979,-1,20.36256163845909,4.223529777476019,-96.83502262333916,-1
1773522057061504000,37.60350390625,152.05443260647934,-1,-1,32.90187768558897,179.90700218655746,-1,18.008722102903427,4.227043347376751,-96.83501578527095,-1
1773522062088998000,42.63099780273438,159.72393656555573,-1,-1,32.90187761880869,187.57650614563386,-1,27.332572581689206,3.4347056155509765,-96.83501596556599,-1
1773522063476511000,44.018510986328124,152.05445167996567,-1,-1,32.90187725294135,179.9070212600438,-1,27.40449095331809,4.323302181847994,-96.83501709329144,-1
1773522064682499800,45.22449975585938,152.05445167996567,-1,-1,32.901877251574135,179.9070212600438,-1,28.342143857332754,4.326664991085804,-96.83501709750568,-1
1773522070100132900,50.6421328125,159.72393656555573,-1,-1,32.901877137077655,187.57650614563386,-1,35.79271503326478,3.4464023839441573,-96.8350174066189,-1
1773522078996592000,59.538592041015626,152.05439827420395,-1,-1,32.901900791414846,179.90696785428207,-1,19.78326392839981,4.776807988993782,-96.83498608873366,-1
