time,seconds_elapsed,roll,rotationRateZ,quaternionY,rotationRateY,quaternionZ,quaternionW,yaw,devicelocation,accelerationZ,pitch,gravityX,gravityZ,quaternionX,rotationRateX,accelerationX,gravityY,accelerationY
1773522019767684900,0.309684814453125,-0.8161107542353446,-0.4293392300605774,-0.3955767068533763,-0.3557523488998413,3.8284128419847264e-17,0.9171575477333285,-0.03843928599507063,right,-0.27401548624038696,-0.08886612497127797,-7.1158274462252855,-6.691629389485716,-0.04838274838842676,0.32149505615234375,0.8297345638275146,0.870332562411949,0.0020417198538780212
1773522019807684900,0.349684814453125,-0.2570795132285302,-0.5144265294075012,-0.13542096336187406,-0.3161108195781708,0.11662200640530067,0.9818560525615228,0.21614944864565053,right,-0.004187583923339844,-0.15671697627354947,-2.4628549251437186,-9.368139340269565,-0.06339530831388714,0.29096120595932007,0.3392564058303833,1.5305856195829808,-0.11487317830324173
1773522019847684900,0.389684814453125,-0.10028604912329431,-0.5569901466369629,-0.05874045469522989,-0.3061526417732239,0.14386461641967613,0.9861670129842787,0.28313579651878995,right,0.01753014326095581,-0.13103955458845698,-0.9734056911345571,-9.673723292544484,-0.057679636228112306,0.25301846861839294,0.17620396614074707,1.281384941048175,-0.11010206490755081
1773522019887684900,0.429684814453125,0.05389683539560235,-0.5995537638664246,0.018332056857154826,-0.2961944341659546,0.1701470874626707,0.9838970331508854,0.345049945239195,right,0.01564878225326538,-0.09540335931621124,0.5258885719973594,-9.747879246601462,-0.05157907289889114,0.21507571637630463,0.012147597968578339,0.9341691478326916,-0.0953361913561821
1773522019927684900,0.469684814453125,0.07926396958269058,-0.7060075998306274,0.035374471406444015,-0.2274530678987503,0.16382207656546527,0.9854394178638857,0.3312514495543387,right,0.04837465286254883,-0.04486355182422802,0.7757184152811766,-9.766023390579223,-0.028636332826411065,0.1661299169063568,-0.008131258189678192,0.43981392434872685,-0.058994852006435394
1773522019967684900,0.509684814453125,0.07085966832620139,-0.7446288466453552,0.03256726835062818,-0.22054478526115417,0.15072988007379862,0.9878086011500353,0.3039885787549229,right,0.033675968647003174,-0.03228130571907971,0.6939522784814238,-9.776944013044238,-0.021306465764794655,0.06275710463523865,-0.018961571156978607,0.3165168131669983,-0.0500335693359375
1773522020007684900,0.549684814453125,0.06280427488838955,-0.783250093460083,0.02975228949716837,-0.21363651752471924,0.13760169560626861,0.989942051001982,0.2768413229640731,right,0.018732130527496338,-0.01947528227616995,0.6153774120036513,-9.785459912455082,-0.013971515867256779,-0.040615715086460114,-0.030117303133010864,0.19097548498874528,-0.04084344208240509
1773522020047684900,0.589684814453125,0.051886211980332816,-0.7988399863243103,0.024965414392312608,-0.18046551942825317,0.1174624201884095,0.9927155334617538,0.2359037295711272,right,0.029800593852996826,-0.013498291234264787,0.508554684956558,-9.792560099849105,-0.00975248027736832,0.0027741165831685066,-0.017557431012392044,0.13236924710269085,-0.05675063654780388
1773522020087684900,0.629684814453125,0.04585165323966664,-0.7525679469108582,0.02241229500616533,-0.13302932679653168,0.10449995874673847,0.9942538446613396,0.20960793569327651,right,0.018553197383880615,-0.0073736976362197525,0.4494807108277455,-9.796077168059348,-0.006063742518343106,0.04541393741965294,-0.012938618659973145,0.0723108376469463,-0.050305549055337906
1773522020127684900,0.669684814453125,0.03998035205646755,-0.7062958478927612,0.019854900572952083,-0.08559312671422958,0.0915176141937004,0.9956025927441415,0.18335028790098973,right,0.0072255730628967285,-0.001092664761395774,0.3919679946662858,-9.798807469806075,-0.002373844162017415,0.08805376291275024,-0.008479006588459015,0.010715577437676255,-0.04370374605059624
