time,seconds_elapsed,activity
1773522019535000000,0.077,stationary
1773522019733000000,0.275,unknown
1773522024164000000,4.706,unknown
1773522026426000000,6.967999755859375,unknown
1773522030911000000,11.453,unknown
1773522034130000000,14.671999755859375,unknown
1773522040546000000,21.087999755859375,stationary
1773522040869000000,21.411,unknown
1773522043115000000,23.657,stationary
1773522044086000000,24.628000244140626,unknown
1773522045042000000,25.583999755859374,stationary
1773522046007000000,26.549,unknown
