time,seconds_elapsed,z,y,x
1773522019546601500,0.0886015625,-9.138740217530726,-3.3855519541084766,1.091717159390822
1773522019556639500,0.098639404296875,-9.102650082495808,-3.433545000644028,1.2340652637295424
1773522019566677500,0.108677490234375,-9.070022070613502,-3.462729886335134,1.3836873776592313
1773522019576715500,0.118715576171875,-9.053807433393597,-3.4614272793039675,1.489120513511449
1773522019586754600,0.128754638671875,-9.059176851472259,-3.424770450296998,1.540339244095236
1773522019596792600,0.13879248046875,-9.080202688366175,-3.355070598866045,1.5696508249059318
1773522019606830600,0.14883056640625,-9.097249100235103,-3.2684710505604744,1.6515246598638593
1773522019616869400,0.158869384765625,-9.097715548703073,-3.1795076957330104,1.814577333252877
1773522019626907600,0.16890771484375,-9.081434275987744,-3.0947730645164846,2.0298568913549184
1773522019636945400,0.1789453125,-9.059065792313218,-3.0184903275638817,2.2343732095107436
1773522019646984700,0.188984619140625,-9.042298197385668,-2.9453052643656727,2.3942449147760865
1773522019657022500,0.1990224609375,-9.023126463925838,-2.8727140754073854,2.549722476735711
1773522019667060700,0.209060791015625,-8.991424334716797,-2.803439755912125,2.7322867830634117
1773522019677098500,0.219098388671875,-8.955317248547077,-2.7365523315533995,2.912723721973598
1773522019687137500,0.229137451171875,-8.935611262080073,-2.6675188350766894,3.03472863792032
1773522019697175600,0.239175537109375,-8.946661063882708,-2.5985192408695816,3.0619167968362566
1773522019707213600,0.249213623046875,-8.987640724524855,-2.540257606036961,2.989948123690486
1773522019717252600,0.259252685546875,-9.049971800753474,-2.5000223340213297,2.8316581346586345
1773522019727290600,0.26929052734375,-9.122830700737238,-2.478222297884524,2.6082103215396404
1773522019737328600,0.27932861328125,-9.189922707757352,-2.472509180934727,2.3669401437431574
1773522019747366400,0.289366455078125,-9.2369270355165,-2.4828128405451775,2.164533657348156
1773522019757405400,0.299405517578125,-9.269327668383717,-2.5022026006698606,1.9972318020820616
1773522019767443700,0.309443603515625,-9.292544877842069,-2.5229347153142094,1.8584397097244858
1773522019777481500,0.3194814453125,-9.309425870016216,-2.5401690509706736,1.7471454267539084
1773522019787520800,0.329520751953125,-9.32124198001623,-2.555465112040937,1.6596460069991648
1773522019797558500,0.33955859375,-9.34140681616664,-2.5511335125774144,1.54926489335075
1773522019807596500,0.349596435546875,-9.371818905565142,-2.5112775952681896,1.4257912200257181
1773522019817635600,0.359635498046875,-9.399119000422955,-2.4486716476209462,1.353127258092165
1773522019827673300,0.36967333984375,-9.4198087372303,-2.3695865665987133,1.3500554494313894
1773522019837711600,0.379711669921875,-9.43566038635671,-2.271309878372401,1.407071468117088
1773522019847749400,0.389749267578125,-9.447755897819995,-2.1533726502560078,1.50774075056836
1773522019857788700,0.39978857421875,-9.456430787184834,-2.0217349596977234,1.630611051172763
1773522019867826400,0.409826416015625,-9.461514374059439,-1.8925655589491128,1.7516640732221305
1773522019877864700,0.41986474609375,-9.461858072930573,-1.7827777350187302,1.8615401599578558
1773522019887903500,0.429903564453125,-9.457359007945657,-1.7065138488970697,1.953601773061603
1773522019897941500,0.43994140625,-9.449199666887521,-1.6718417639665304,2.021869107471406
1773522019907979500,0.4499794921875,-9.439228307971359,-1.6788072190649805,2.062269214659929
1773522019918017500,0.460017578125,-9.42885362895131,-1.719402264303714,2.076235926822573
1773522019928056600,0.470056640625,-9.420083462518454,-1.780788460897654,2.0642687179140746
1773522019938094600,0.480094482421875,-9.417022905904053,-1.8536039601311087,2.0135088370136915
1773522019948132600,0.490132568359375,-9.420605440565943,-1.9339103996418416,1.9190011459320782
1773522019958171600,0.500171630859375,-9.42771848744154,-2.020507025337964,1.7905477844983337
1773522019968209400,0.51020947265625,-9.434127185440063,-2.1111663704283536,1.6463913886286317
1773522019978247700,0.52024755859375,-9.437930669376254,-2.200620139121264,1.5010411067992449
