time,seconds_elapsed,activity,local_time
1775952488347000000,0.072,unknown,2026-04-11T19:08:08.347-05:00
1775952488888000000,0.613,stationary,2026-04-11T19:08:08.888-05:00
1775952489525000000,1.25,unknown,2026-04-11T19:08:09.525-05:00
1775952491779000000,3.504,unknown,2026-04-11T19:08:11.779-05:00
1775952537813000000,49.538,unknown,2026-04-11T19:08:57.813-05:00
1775952550029999900,61.75499975585937,unknown,2026-04-11T19:09:10.029-05:00
1775952553261000000,64.986,unknown,2026-04-11T19:09:13.261-05:00
1775952566453000000,78.178,unknown,2026-04-11T19:09:26.453-05:00
