time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed,local_time
1775952483233071000,-5.041928955078125,152.92848411009754,-1,-1,32.95315434334399,180.42377677367176,-1,19.988914316226886,3.4618185310614216,-96.7949675347616,-1,2026-04-11T19:08:03.233-05:00
1775952488355053000,0.080052978515625,152.92848411009754,-1,-1,32.95315434334399,180.42377677367176,-1,19.988914316226886,3.4618185310614216,-96.7949675347616,-1,2026-04-11T19:08:08.355-05:00
1775952488356210000,0.0812099609375,152.92848411009754,-1,-1,32.95315417511777,180.42377677367176,-1,19.956290615015362,3.46274096583506,-96.79496751214731,-1,2026-04-11T19:08:08.356-05:00
1775952488387391000,0.112390869140625,152.92848411009754,-1,-1,32.953155115170375,180.42377677367176,-1,20.027849151566674,3.4642156524829626,-96.79497101264134,-1,2026-04-11T19:08:08.387-05:00
1775952488975041000,0.700041015625,161.87786865234375,0.20999999344348907,66.26181664788226,32.95329414872951,189.37316131591797,243.984375,13.230551741515274,12,-96.79500867569759,0,2026-04-11T19:08:08.975-05:00
1775952490004051000,1.729051025390625,157.10748291015625,0.8500000238418579,-1,32.95329794880212,184.60277557373047,-1,13.295508193395193,4,-96.79501051836274,0,2026-04-11T19:08:10.004-05:00
1775952491004072000,2.729072021484375,156.7655029296875,0.8100000023841858,-1,32.9533020538551,184.26079559326172,-1,4.206749047059325,4,-96.79496770548393,0.20999999344348907,2026-04-11T19:08:11.004-05:00
1775952492004090000,3.729090087890625,156.84552001953125,0.9200000166893005,55.590783296234136,32.95329131243624,184.34081268310547,166.640625,4.149678425384357,4,-96.79495365619692,0.20999999344348907,2026-04-11T19:08:12.004-05:00
1775952493004109300,4.729109375,156.55303955078125,0.7400000095367432,82.64009801338507,32.953297269093156,184.04833221435547,328.359375,3.8580846179625286,4,-96.79495295648758,0.28999999165534973,2026-04-11T19:08:13.004-05:00
1775952494004127200,5.729127197265625,156.68701171875,0.7400000095367432,82.64009801338507,32.95330463586679,184.18230438232422,328.359375,3.868346210334031,4,-96.79495235710037,0,2026-04-11T19:08:14.004-05:00
1775952495003940900,6.72894091796875,156.76434326171875,0.2199999988079071,82.64009801338507,32.953305680901764,184.25963592529297,328.359375,3.777469200764028,4,-96.7949505870165,0,2026-04-11T19:08:15.003-05:00
1775952496003948300,7.7289482421875,156.544189453125,0.07000000029802322,82.64009801338507,32.953312384385264,184.03948211669922,328.359375,3.6570852844437876,4,-96.79494949094502,0,2026-04-11T19:08:16.003-05:00
1775952497003960300,8.728960205078126,156.61883544921875,0.07000000029802322,82.64009801338507,32.95331540122087,184.11412811279297,328.359375,3.5787892820770253,3,-96.7949457991247,0,2026-04-11T19:08:17.003-05:00
1775952498003960300,9.728960205078126,156.7037353515625,0.07000000029802322,82.64009801338507,32.95331448479671,184.19902801513672,328.359375,3.5229056223474657,3,-96.79494604323519,0,2026-04-11T19:08:18.003-05:00
1775952499003963400,10.72896337890625,157.233642578125,0.07000000029802322,82.64009801338507,32.953313813492436,184.72893524169922,328.359375,3.530959899311704,3,-96.7949459602441,0,2026-04-11T19:08:19.003-05:00
1775952501003975400,12.728975341796875,157.34210205078125,0.17000000178813934,82.64009801338507,32.9533126901767,184.83739471435547,328.359375,3.528948096072827,3,-96.79494477649399,0,2026-04-11T19:08:21.003-05:00
1775952502003974000,13.728973876953125,157.3421020656824,0.3080157138848601,-1,32.95331268358889,184.83739472925663,-1,3.287401658356574,4.029364438188564,-96.79494478176295,0,2026-04-11T19:08:22.003-05:00
1775952504003981600,15.728981689453125,157.31018067710102,0.5701973236000434,-1,32.95331439581133,184.80547334067523,-1,4.733824440858601,4.029364438188564,-96.79494369581633,0,2026-04-11T19:08:24.003-05:00
1775952505003982800,16.72898291015625,157.33819581288844,0.8497058207875171,-1,32.95331456132072,184.83348847646266,-1,4.733827547034815,4.029364438188564,-96.79494411431074,0,2026-04-11T19:08:25.003-05:00
1775952506003992300,17.728992431640624,157.52227784506977,0.3080157138848601,-1,32.95331368773881,185.01757050864398,-1,4.733827774224213,4.029364438188565,-96.79494395032643,0,2026-04-11T19:08:26.003-05:00
1775952507003995600,18.72899560546875,157.57617188803852,0.3080157138848601,-1,32.95331384888632,185.07146455161273,-1,4.7338276236095815,4.029364438188565,-96.7949417835944,0,2026-04-11T19:08:27.003-05:00
1775952508003994600,19.72899462890625,157.3376464964822,0.3080157138848601,-1,32.95331534922833,184.8329391600564,-1,4.7338274947518775,4.029364438188564,-96.79494218657037,0,2026-04-11T19:08:28.003-05:00
1775952509003996200,20.72899609375,157.32299806084484,0.31304951818277094,-1,32.95331485880183,184.81829072441906,-1,4.733827787611282,4.029364438188564,-96.7949421890824,0,2026-04-11T19:08:29.003-05:00
1775952510003981300,21.728981201171877,157.36657716147602,0.3080157138848601,-1,32.95331543882047,184.86186982505023,-1,4.733827780319526,4.029364438188564,-96.79494177261537,0,2026-04-11T19:08:30.003-05:00
1775952511003969500,22.728969482421874,157.40460206288844,0.3080157138848601,-1,32.95331577562224,184.89989472646266,-1,4.73382778275363,4.029364438188564,-96.7949418533158,0,2026-04-11T19:08:31.003-05:00
1775952512003958500,23.72895849609375,157.45812989771366,0.3080157138848601,-1,32.95331523629423,184.95342256128788,-1,4.733827777884946,4.029364438188565,-96.79494193711542,0,2026-04-11T19:08:32.003-05:00
1775952513003948500,24.728948486328125,157.4594116350636,0.38013156017336536,-1,32.95331528380705,184.9547042986378,-1,4.732787436364839,4.029364438188564,-96.79494192334951,0,2026-04-11T19:08:33.003-05:00
1775952514003939600,25.728939697265623,157.46862794365734,0.3080157138848601,-1,32.95331523322845,184.96392060723156,-1,4.733827741115255,4.029364438188564,-96.7949418542554,0,2026-04-11T19:08:34.003-05:00
1775952515003931400,26.728931396484374,157.5442505022511,0.3080157138848601,-1,32.95331485807874,185.0395431658253,-1,4.733827776666114,4.029364438188564,-96.79494202041776,0,2026-04-11T19:08:35.003-05:00
1775952516003925200,27.72892529296875,157.54577638022602,0.3080157138848601,-1,32.95331485574021,185.04106904380023,-1,4.733827776667552,4.029364438188564,-96.79494193815708,0,2026-04-11T19:08:36.003-05:00
1775952517003920000,28.728919921875,157.54760743305087,1.0509519467593005,-1,32.95331772945615,185.0429000966251,-1,4.73382778762218,4.029364438188564,-96.79494493631962,0.3100000023841858,2026-04-11T19:08:37.003-05:00
1775952518003915000,29.7289150390625,158.18627930991352,1.0509519467593005,-1,32.9533208709899,185.68157197348773,-1,4.7338277815367436,4.029364438188564,-96.7949432890782,0,2026-04-11T19:08:38.003-05:00
1775952519003910700,30.72891064453125,157.79174805991352,0.3080157138848601,-1,32.95332422243445,185.28704072348773,-1,4.733827774233359,4.029364438188565,-96.79494427836839,0,2026-04-11T19:08:39.003-05:00
1775952520003908400,31.728908447265624,157.5314941527322,0.3080157138848601,-1,32.95331895399595,185.0267868163064,-1,4.733827783970543,4.029364438188564,-96.79494220212185,0,2026-04-11T19:08:40.003-05:00
1775952522003904500,33.72890454101562,155.41303425189108,1.30522730443172,-1,32.9533382180534,182.9083269154653,-1,13.764332974767873,4.761926083547893,-96.7949171659422,0.1368939057497979,2026-04-11T19:08:42.003-05:00
1775952523003904500,34.72890454101562,155.31136452313513,1.712397429386783,-1,32.953334235668805,182.80665718670934,-1,23.2469149766038,7.338177825146461,-96.79491946990409,0.04158563845621713,2026-04-11T19:08:43.003-05:00
1775952524003904300,35.728904296875,155.5473863473162,1.376105325864706,-1,32.953321417661144,183.04267901089042,-1,18.801799623962015,6.350557392700495,-96.7949186261769,0.20647420381987885,2026-04-11T19:08:44.003-05:00
1775952525003904500,36.72890454101562,155.4375068647787,1.2987140285428258,-1,32.9533268529705,182.93279952835292,-1,18.80179962988848,6.389986861412209,-96.79491482423362,0.11802456043241008,2026-04-11T19:08:45.003-05:00
1775952526003905000,37.728905029296875,155.34336337912828,1.446401919878502,-1,32.95332064302385,182.8386560427025,-1,17.98932680752348,5.955631784298902,-96.79491322141364,0.1537402273311055,2026-04-11T19:08:46.003-05:00
1775952527003906800,38.72890673828125,155.06040195934474,1.214562929812311,-1,32.953299526925356,182.55569462291896,-1,17.989326807523824,6.8864751002726,-96.79491133369093,0.12032182412662779,2026-04-11T19:08:47.003-05:00
1775952528003908600,39.72890869140625,155.22093388903886,1.221129633458115,-1,32.95330017428915,182.71622655261308,-1,18.27140323757703,6.945979822908056,-96.79491522802975,0.07394711140321411,2026-04-11T19:08:48.003-05:00
1775952529003911700,40.72891162109375,155.08519573695958,0.6928214944718392,-1,32.95330115547717,182.5804884005338,-1,16.563023884477445,6.582378509479932,-96.79491265690586,0.04819013604463973,2026-04-11T19:08:49.003-05:00
1775952530003914800,41.72891479492188,155.00412554759532,1.384592156308033,-1,32.95329475249131,182.49941821116954,-1,16.445254094557157,7.130227013116165,-96.79490264365646,0.15241456832082306,2026-04-11T19:08:50.003-05:00
1775952531003917600,42.72891748046875,154.91429183911532,1.2098162382939837,-1,32.95329384030521,182.40958450268954,-1,17.59454822684958,7.343886438067914,-96.79492008438986,0.06852404080062967,2026-04-11T19:08:51.003-05:00
1775952532003921700,43.728921630859375,154.9512008400634,1.3588407205900532,-1,32.95329816757509,182.4464935036376,-1,17.594548226850748,7.007418475045373,-96.79491502954133,0.20896929754372348,2026-04-11T19:08:52.003-05:00
1775952533003926000,44.72892602539063,154.8993700928986,1.068996254262535,-1,32.95328922088112,182.39466275647283,-1,17.289289705251697,7.329729164733418,-96.79491073710587,0.07506895396584835,2026-04-11T19:08:53.003-05:00
1775952534003929600,45.7289296875,154.78952097147703,1.2670328353909175,-1,32.953291929200155,182.28481363505125,-1,17.247891363794867,7.165276518803206,-96.79491431805721,0.14737967774683952,2026-04-11T19:08:54.003-05:00
1775952535003934500,46.7289345703125,154.92211391124874,1.3411011091180773,-1,32.95329806626999,182.41740657482296,-1,17.247891363794867,7.164025817056818,-96.79491658364556,0.05350164263087174,2026-04-11T19:08:55.003-05:00
1775952536003940400,47.7289404296875,155.0118985697627,1.5425565032436903,-1,32.953299146371364,182.50719123333693,-1,17.247891363794174,6.9116502975714456,-96.79491526671669,0.06622695019747563,2026-04-11T19:08:56.003-05:00
1775952537003945200,48.7289453125,155.03483139444143,1.2341557313995914,-1,32.95329284968659,182.53012405801564,-1,18.025479873835632,7.24316150345122,-96.7949186453729,0.1710622450852884,2026-04-11T19:08:57.003-05:00
1775952538003950800,49.728950927734374,154.8653081925586,1.2914461784749103,-1,32.95328467315284,182.3606008561328,-1,17.884911132704826,7.119668961850074,-96.79491905261429,0.0977571257297882,2026-04-11T19:08:58.003-05:00
1775952539003956500,50.72895654296875,154.95188834052533,1.4023386984953055,-1,32.953286485897905,182.44718100409955,-1,17.884911132703497,7.043664804124852,-96.79492020207883,0.06744747666396453,2026-04-11T19:08:59.003-05:00
1775952540003962000,51.728962158203124,155.0437181321904,1.5848684620863216,-1,32.9532895462955,182.53901079576463,-1,17.459451434106764,6.627007636182301,-96.79492081728883,0.3471253153349938,2026-04-11T19:09:00.003-05:00
1775952541003968500,52.72896850585938,155.08816328737885,1.3333556492710523,-1,32.95328076652278,182.58345595095307,-1,17.503989973247954,6.4516185625271945,-96.79491568096924,0.27658180710584906,2026-04-11T19:09:01.003-05:00
1775952542003974700,53.728974609375,155.1384120900184,1.5081969710072292,-1,32.953280789279496,182.6337047535926,-1,17.137844048000645,6.065606857104295,-96.79491701754954,0.06537283601586916,2026-04-11T19:09:02.003-05:00
