time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch,local_time
1775952488362800600,0.087800537109375,-1.350836626585775,0.18691210508639144,-0.6034079207220747,0.119088203280081,0.7715889971386388,-0.07492197319152226,0.3885594804669189,2026-04-11T19:08:08.362-05:00
1775952488372858600,0.097858642578125,-1.350927042045166,0.18675104899288988,-0.6034803815059595,0.1189777593980447,0.7715762392620288,-0.07487099678604546,0.3882310459736592,2026-04-11T19:08:08.372-05:00
1775952488382915800,0.107915771484375,-1.3510534920664947,0.18648322399811734,-0.6035912477759651,0.11881357367019542,0.7715639708328194,-0.07477089884965228,0.3876670262354435,2026-04-11T19:08:08.382-05:00
1775952488392973800,0.117973876953125,-1.3511862234999814,0.1861404305833417,-0.6037251030999315,0.11848980725894251,0.7715478124406704,-0.07471111709995626,0.3870328890327242,2026-04-11T19:08:08.392-05:00
1775952488403031600,0.128031494140625,-1.351275039961062,0.1857643840858487,-0.6038549411236664,0.11796362295922452,0.7715334098541404,-0.07474684051521886,0.38646809029438084,2026-04-11T19:08:08.403-05:00
1775952488413088500,0.138088623046875,-1.351261876530045,0.18536310658691801,-0.603958878122399,0.11716624639595533,0.7715316633621493,-0.07492111308686854,0.38604296940380334,2026-04-11T19:08:08.413-05:00
1775952488423146800,0.148146728515625,-1.3511509124862056,0.18499523359325437,-0.6040222023858025,0.11622735446044184,0.7715432456520932,-0.07520043262434332,0.3858093390005545,2026-04-11T19:08:08.423-05:00
1775952488433204700,0.158204833984375,-1.351006646429127,0.18470377174859137,-0.6040548796919539,0.11533775963546564,0.7715575112398867,-0.07550714153848494,0.38573483529674574,2026-04-11T19:08:08.433-05:00
1775952488443262700,0.1682626953125,-1.35089288037887,0.18449119851491913,-0.6040782210368626,0.1145847357086504,0.7715617216664141,-0.07579581090553883,0.38576269366936444,2026-04-11T19:08:08.443-05:00
1775952488453319700,0.178319580078125,-1.3508059226191502,0.18436845038761326,-0.6040879631231153,0.11399024131587984,0.7715572803178001,-0.0760610047646596,0.38590389879487347,2026-04-11T19:08:08.453-05:00
