time,seconds_elapsed,relativeAltitude,pressure,local_time
1775952487780120800,-0.494879150390625,0,995.5942535400391,2026-04-11T19:08:07.780-05:00
1775952488785417700,0.510417724609375,-0.005279541015625,995.5949401855469,2026-04-11T19:08:08.785-05:00
1775952489790760000,1.515760009765625,-0.0105743408203125,995.595703125,2026-04-11T19:08:09.790-05:00
1775952490796067800,2.52106787109375,-0.1691131591796875,995.6143951416016,2026-04-11T19:08:10.796-05:00
1775952491801356800,3.526356689453125,-0.248382568359375,995.6239318847656,2026-04-11T19:08:11.801-05:00
1775952492153024800,3.878024658203125,-0.3514251708984375,995.6358337402344,2026-04-11T19:08:12.153-05:00
1775952493225346800,4.950346923828125,-0.3778533935546875,995.6390380859375,2026-04-11T19:08:13.225-05:00
1775952494297669600,6.022669677734375,-0.457122802734375,995.6484985351562,2026-04-11T19:08:14.297-05:00
1775952495370023700,7.095023681640625,-0.4914703369140625,995.6526184082031,2026-04-11T19:08:15.370-05:00
1775952496442359800,8.16735986328125,-0.5760345458984375,995.6623840332031,2026-04-11T19:08:16.442-05:00
1775952497514738000,9.239738037109374,-0.5998077392578125,995.6652069091797,2026-04-11T19:08:17.514-05:00
1775952498587073800,10.31207373046875,-0.5998077392578125,995.6652069091797,2026-04-11T19:08:18.587-05:00
1775952499659383800,11.3843837890625,-0.5945281982421875,995.6645965576172,2026-04-11T19:08:19.659-05:00
1775952500731724800,12.456724853515626,-0.591888427734375,995.6642913818359,2026-04-11T19:08:20.731-05:00
1775952501804070000,13.52906982421875,-0.5813140869140625,995.6632995605469,2026-04-11T19:08:21.804-05:00
1775952502876398800,14.60139892578125,-0.4676971435546875,995.6497955322266,2026-04-11T19:08:22.876-05:00
1775952503948721700,15.6737216796875,-0.4174957275390625,995.6438446044922,2026-04-11T19:08:23.948-05:00
1775952505021023000,16.74602294921875,-0.4174957275390625,995.6438446044922,2026-04-11T19:08:25.021-05:00
1775952506093324800,17.81832470703125,-0.4174957275390625,995.6438446044922,2026-04-11T19:08:26.093-05:00
1775952507165642800,18.890642822265626,-0.3540802001953125,995.6362915039062,2026-04-11T19:08:27.165-05:00
1775952508237951700,19.96295166015625,-0.3540802001953125,995.6362915039062,2026-04-11T19:08:28.237-05:00
1775952509310286800,21.035286865234376,-0.367279052734375,995.6378936767578,2026-04-11T19:08:29.310-05:00
1775952510382571800,22.10757177734375,-0.367279052734375,995.6378936767578,2026-04-11T19:08:30.382-05:00
1775952511454869800,23.179869873046876,-0.303863525390625,995.6304931640625,2026-04-11T19:08:31.454-05:00
1775952512527200800,24.25220068359375,-0.303863525390625,995.6304931640625,2026-04-11T19:08:32.527-05:00
1775952513599500800,25.324500732421875,-0.303863525390625,995.6304931640625,2026-04-11T19:08:33.599-05:00
1775952514671758600,26.396758544921877,-0.3065185546875,995.6307983398438,2026-04-11T19:08:34.671-05:00
