time,seconds_elapsed,relativeAltitude,pressure
1773149337055565600,-0.488434326171875,0,996.2650299072266
1773149338058156500,0.514156494140625,-0.068695068359375,996.2730407714844
1773149339061724400,1.517724365234375,-0.1374053955078125,996.2810516357422
1773149340065426700,2.5214267578125,-0.2457427978515625,996.2940216064453
1773149341068078600,3.52407861328125,-0.3144378662109375,996.3021087646484
1773149342070224600,4.526224609375,-0.3329315185546875,996.3043975830078
1773149342619606500,5.0756064453125,-0.3408660888671875,996.3052368164062
1773149343622952400,6.078952392578125,-0.4016265869140625,996.3124847412109
1773149344625060600,7.081060546875,-0.449188232421875,996.3179779052734
1773149345627306500,8.083306396484375,-0.449188232421875,996.3179779052734
1773149346630857500,9.086857421875,-0.4544830322265625,996.3186645507812
1773149347633262600,10.0892626953125,-0.457122802734375,996.3188934326172
1773149348637071600,11.093071533203124,-0.4703369140625,996.3206481933594
1773149349640619500,12.09661962890625,-0.4703369140625,996.3206481933594
1773149350644534500,13.100534423828124,-0.4703369140625,996.3206481933594
1773149351646631400,14.10263134765625,-0.5363922119140625,996.3285064697266
1773149352648930600,15.1049306640625,-0.5363922119140625,996.3285064697266
1773149353652673500,16.108673583984373,-0.5099639892578125,996.3253021240234
1773149354656228600,17.112228515625,-0.5099639892578125,996.3253021240234
1773149355659164400,18.115164306640626,-0.5099639892578125,996.3253021240234
1773149356661266700,19.1172666015625,-0.483551025390625,996.3222503662109
1773149357663398400,20.1193984375,-0.483551025390625,996.3222503662109
1773149358666582500,21.12258251953125,-0.475616455078125,996.3211059570312
1773149359670222600,22.12622265625,-0.4729766845703125,996.3209533691406
1773149360673868500,23.12986865234375,-0.44390869140625,996.3173675537109
1773149361677512700,24.1335126953125,-0.4333343505859375,996.3162231445312
