time,seconds_elapsed,batteryLevel,batteryState,lowPowerMode
1773149338549000000,1.005,0.20000000298023224,unplugged,false
1773149339549000000,2.005,0.20000000298023224,unplugged,false
1773149340550000000,3.006000244140625,0.20000000298023224,unplugged,false
1773149341550000000,4.006000244140625,0.20000000298023224,unplugged,false
1773149342551000000,5.007,0.20000000298023224,unplugged,false
1773149343552000000,6.008,0.20000000298023224,unplugged,false
1773149344552000000,7.008,0.20000000298023224,unplugged,false
1773149345552000000,8.008,0.20000000298023224,unplugged,false
1773149346553000000,9.009,0.20000000298023224,unplugged,false
1773149347553000000,10.009,0.20000000298023224,unplugged,false
1773149348554000000,11.009999755859376,0.20000000298023224,unplugged,false
1773149349554000000,12.009999755859376,0.20000000298023224,unplugged,false
1773149350555000000,13.011,0.20000000298023224,unplugged,false
1773149351556000000,14.012,0.20000000298023224,unplugged,false
1773149352556000000,15.012,0.20000000298023224,unplugged,false
1773149353557000000,16.013,0.20000000298023224,unplugged,false
1773149354557000000,17.013,0.20000000298023224,unplugged,false
1773149355558000000,18.014000244140625,0.20000000298023224,unplugged,false
1773149356558000000,19.014000244140625,0.20000000298023224,unplugged,false
1773149357559000000,20.015,0.20000000298023224,unplugged,false
1773149358559000000,21.015,0.20000000298023224,unplugged,false
1773149359560000000,22.016,0.20000000298023224,unplugged,false
1773149360560000000,23.016,0.20000000298023224,unplugged,false
1773149361561000000,24.017,0.20000000298023224,unplugged,false
1773149362562000000,25.017999755859375,0.20000000298023224,unplugged,false
1773149363578000000,26.033999755859377,0.20000000298023224,unplugged,false
1773149364579000000,27.035,0.20000000298023224,unplugged,false
