time,seconds_elapsed,roll,rotationRateZ,quaternionY,rotationRateY,quaternionZ,quaternionW,yaw,devicelocation,accelerationZ,pitch,gravityX,gravityZ,quaternionX,rotationRateX,accelerationX,gravityY,accelerationY
1773149337852882700,0.308882568359375,-0.8228810787310123,-0.7315483689308167,-0.38882981022846297,0.10068750381469727,4.2336270641278534e-17,0.9101073020752056,-0.11563610321486392,right,-0.22869783639907837,-0.26376655495581036,-6.940691828593612,-6.438950513446331,-0.1432351328584404,0.42430001497268677,0.5701836347579956,2.5567764869004486,0.13984054327011108
1773149337892882700,0.348882568359375,-0.4272319855844319,-0.7919648289680481,-0.2133219444680594,0.09552165865898132,0.06917065782114466,0.9567230633582492,0.05769611755770348,right,-0.05896979570388794,-0.39450702086081113,-3.751289346311986,-8.239613449245692,-0.1854464991763673,0.25354716181755066,0.2239159494638443,3.769216048146784,-0.02330067753791809
1773149338037600000,0.49360009765625,-0.18566979523626792,-0.9691583514213562,-0.09890094664170267,0.06088942289352417,0.05926269284904466,0.9776835294704779,0.0869097561700522,right,-0.00925392284989357,-0.36304140816383074,-1.6923577516421675,-9.009900487127899,-0.1756175493568271,-0.030919698998332024,-0.01497693918645382,3.4825276427388188,-0.03482921048998833
1773149338077600000,0.53360009765625,-0.19725607333255546,-1.001418948173523,-0.1007244326212787,0.05189104378223419,0.03886708318805398,0.978509186821481,0.043461329673333465,right,-0.013575553894042969,-0.3593230179254447,-1.799158376455307,-9.002324498915671,-0.17568094508087403,-0.10013695806264877,-0.010082483291625977,3.4484155297785994,-0.027883589267730713
1773149338117600000,0.57360009765625,-0.2072612825517405,-0.9552257657051086,-0.10252482559991183,0.01692669466137886,0.02224192380652677,0.9788843919384896,0.008075398520988914,right,-0.019662141799926758,-0.3554724415474095,-1.8918553648531435,-8.996800767058133,-0.17544084556676998,-0.1107642725110054,-0.010754913091659546,3.4130405572757123,-0.0377158522605896
1773149338157600300,0.613600341796875,-0.2171002988873272,-0.9090325832366943,-0.10429651394475402,-0.01803765445947647,0.0056105859230346335,0.9789856580809736,-0.02721527528675357,right,-0.02571547031402588,-0.35129309175897455,-1.9833372783727943,-8.99160261389315,-0.1751516396672889,-0.12139158695936203,-0.011551260948181152,3.37458778476268,-0.04723426699638367
1773149338197600000,0.65360009765625,-0.22347358427599118,-0.8396376371383667,-0.1054348843588219,-0.006643613800406456,-0.005472369181657372,0.978942381640297,-0.05060870581560251,right,-0.013742923736572266,-0.34789485452848057,-2.043132260252535,-8.989910423022508,-0.1747158446419166,-0.07697027176618576,-0.012324675917625427,3.343278162002563,-0.04189425706863403
1773149338237600000,0.69360009765625,-0.2371563069287561,-0.6603855490684509,-0.10829821562032985,0.012701401486992836,-0.02937816427932531,0.9790151174771415,-0.10001504416484172,right,0.0026592612266540527,-0.33283084374146377,-2.177529770912975,-9.009048838734627,-0.17011128024041272,-0.008858099579811096,-0.027695685625076294,3.2040266354396936,-0.02863040566444397
1773149338277600000,0.73360009765625,-0.24270162048552843,-0.5928868651390076,-0.10908541917853806,0.09693099558353424,-0.042802667466587715,0.9789671814423266,-0.1271511199744839,right,0.0029325485229492188,-0.32325203693397897,-2.2347274297758934,-9.026213324025273,-0.16700770999835993,0.051629964262247086,-0.015647664666175842,3.1151001054912806,-0.040610313415527344
1773149338317600000,0.77360009765625,-0.2454498180222065,-0.3985443711280823,-0.10981343129723548,0.08991850167512894,-0.04931835292827925,0.9792550314342743,-0.139626305641638,right,-0.012441694736480713,-0.31351239687270505,-2.266789916729927,-9.049040072861313,-0.16299806799605507,0.2426546961069107,-0.021440863609313965,3.0243875689089297,-0.04225906729698181
