time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1773149337658315500,0.1143154296875,-2.1580792605490204,-0.1193968444120801,0.8711263057693084,0.18189511591809068,-0.4752974796544275,0.03123764892260572,0.16872126958110192
1773149337668351500,0.1243515625,-2.1547144890999186,-0.1274289464565317,0.8696594029173985,0.2101036566106385,-0.47664713396044195,0.01618180490165045,0.15018656687513213
1773149337678387700,0.1343876953125,-2.153045522415315,-0.13464599895308582,0.86865719281886,0.23839820247382446,-0.4767650982276897,-0.0002994112151487338,0.12821989555039384
1773149337688423700,0.144423583984375,-2.1536661163567925,-0.13979671729262927,0.8683858127116318,0.2615706188179228,-0.4755377935325722,-0.015060895765099237,0.10700398834682998
1773149337698460700,0.154460693359375,-2.1562574768219926,-0.14431933409632347,0.8685246770868188,0.28076000377356963,-0.47341822490605046,-0.026682777564373556,0.09042066571249001
1773149337708496600,0.16449658203125,-2.1612191052582386,-0.14996578600989166,0.8688892743862195,0.2989347609559911,-0.4704418905607939,-0.03501513073087504,0.08033822506459658
1773149337718532600,0.17453271484375,-2.168328863214099,-0.1588753305329569,0.8690434926859291,0.321115475859881,-0.4667068983324051,-0.041312161943050506,0.07656708519123064
1773149337728568600,0.184568603515625,-2.1761871147277336,-0.1717810691577627,0.8684360990831432,0.349996391853192,-0.46270914957520975,-0.04701256210853658,0.07739176576436585
1773149337738604500,0.1946044921875,-2.1852068771752426,-0.1852499977753005,0.8677270905669382,0.3780973551830435,-0.4584421803519023,-0.05062462681620415,0.0820882661845437
1773149337748640500,0.204640625,-2.194466045886145,-0.19609137230695242,0.8674180467839302,0.3992725321582281,-0.4543727981022294,-0.05176369547837319,0.08851116795199737
1773149337758676500,0.214676513671875,-2.2019192803527114,-0.20490461209227526,0.8670240286279913,0.4162638026920387,-0.4511572712532757,-0.05235110275869524,0.09424855300517294
1773149337768712400,0.22471240234375,-2.2070137884674548,-0.2136006574887391,0.8660370567050746,0.43401947922241624,-0.4488125759537728,-0.054053895769481976,0.0982660390213158
1773149337778748400,0.23474853515625,-2.2101529343297357,-0.22153702717254115,0.8647359262755695,0.45126361547151506,-0.4471339979283858,-0.05678266980976919,0.10007640952298268
1773149337788784400,0.244784423828125,-2.2114795658049555,-0.2276424021198082,0.8634652995019904,0.4655877762047272,-0.4460905549009852,-0.06008286604399125,0.09950342595376512
1773149337798820600,0.254820556640625,-2.2122834688340234,-0.2329780504316639,0.862255089542291,0.4787105953683225,-0.4451832464612313,-0.06363505698053767,0.09785263016318761
1773149337808856600,0.264856689453125,-2.2134126758553956,-0.23782646155611648,0.8612000919996645,0.49012074752182466,-0.4442786168438202,-0.06625442270660428,0.09735952988857402
1773149337818893300,0.274893310546875,-2.214185953866068,-0.24295997488073648,0.8598917738683972,0.5004760583559115,-0.4439053498774805,-0.06711568011880757,0.10044684856441612
1773149337828929500,0.284929443359375,-2.2138266530284034,-0.2495622420657197,0.8577622256704679,0.5117634379127908,-0.4445280042762334,-0.06601077882959468,0.10884650601873054
1773149337838965500,0.294965576171875,-2.2124661174656066,-0.25760003409707255,0.8548388783724098,0.5250797300948526,-0.4458366510496937,-0.06420662599511767,0.12021175089909494
1773149337849001500,0.30500146484375,-2.210411181861841,-0.26543944573771067,0.8517489708641119,0.5389409339047418,-0.447261330064357,-0.06342744663324434,0.12975688408662914
1773149337859037700,0.31503759765625,-2.208250937808927,-0.2708177575028013,0.8494325219095564,0.5492988612786758,-0.44837856522652214,-0.063866514840581,0.13476471751917188
1773149337869073700,0.32507373046875,-2.2059851641160617,-0.27346482546854073,0.8480143269687799,0.5549302640042231,-0.4493284530229819,-0.0647516663341154,0.13635249084093934
1773149337879109600,0.335109619140625,-2.2048498771455356,-0.2723141150851478,0.8480213148423456,0.5503403205018755,-0.4503806182993772,-0.06214603733982513,0.14034796879186687
1773149337889145600,0.3451455078125,-2.2057894063255445,-0.2693253838943577,0.8489783179399133,0.5389927746417948,-0.45121516956788077,-0.055719325474685125,0.1489889902691844
1773149337899181600,0.355181640625,-2.2071336810149447,-0.26792471054545336,0.8494906857092149,0.5311234662435844,-0.4517782588856502,-0.04978229780738984,0.15816453879151332
1773149337909217500,0.365217529296875,-2.207887957889591,-0.2681038439959994,0.849452422015268,0.5287561329616337,-0.45207278511732685,-0.04670143485738233,0.16379503152065647
