absolute_timestamp,gyro_x,gyro_y,gyro_z
1775857197871,0.004,0.008,-0.006
1775857197890,-0.002,0.012,-0.006
1775857197910,-0.008,0.014,-0.011
1775857197930,-0.006,0.008,-0.018
1775857197950,-0.007,0.003,-0.024
1775857197969,-0.014,-0.000,-0.029
1775857197989,-0.019,-0.003,-0.030
1775857198009,-0.021,-0.002,-0.036
1775857198029,-0.015,-0.003,-0.045
1775857198049,-0.012,-0.009,-0.054
1775857198068,-0.011,-0.018,-0.058
1775857198088,-0.009,-0.034,-0.063
1775857198108,-0.010,-0.055,-0.077
1775857198128,-0.019,-0.075,-0.101
1775857198147,-0.021,-0.093,-0.114
1775857198167,-0.019,-0.113,-0.122
1775857198187,-0.016,-0.129,-0.121
1775857198207,-0.021,-0.135,-0.118
1775857198226,-0.025,-0.141,-0.115
1775857198246,-0.021,-0.147,-0.112
1775857198266,-0.018,-0.143,-0.106
1775857198286,-0.022,-0.128,-0.101
1775857198305,-0.019,-0.121,-0.100
1775857198325,-0.008,-0.105,-0.093
1775857198345,0.001,-0.081,-0.085
1775857198365,0.003,-0.068,-0.082
1775857198384,-0.005,-0.052,-0.068
1775857198404,-0.009,-0.043,-0.052
1775857198424,-0.006,-0.044,-0.042
1775857198444,-0.003,-0.037,-0.023
1775857198463,-0.006,-0.014,0.003
1775857198483,-0.006,0.005,0.016
1775857198503,-0.008,0.013,0.021
1775857198523,-0.005,0.017,0.026
1775857198542,0.003,0.013,0.026
1775857198562,0.014,0.010,0.029
1775857198582,0.021,0.012,0.029
1775857198602,0.030,0.011,0.024
1775857198621,0.032,0.007,0.019
1775857198641,0.031,0.007,0.015
1775857198661,0.031,0.001,0.010
1775857198681,0.025,-0.008,0.001
1775857198700,0.016,-0.011,-0.003
1775857198720,0.004,-0.008,-0.002
1775857198740,-0.008,0.000,0.001
1775857198760,-0.018,0.010,0.006
1775857198779,-0.021,0.024,0.011
1775857198799,-0.022,0.036,0.014
1775857198819,-0.023,0.040,0.015
1775857198839,-0.013,0.033,0.010
1775857198858,0.000,0.019,0.002
1775857198878,0.011,0.007,-0.002
1775857198898,0.016,-0.004,-0.010
1775857198918,0.018,-0.015,-0.019
1775857198937,0.016,-0.020,-0.024
1775857198957,0.014,-0.023,-0.025
1775857198977,0.011,-0.028,-0.025
1775857198997,0.007,-0.031,-0.027
1775857199016,0.000,-0.030,-0.026
1775857199036,-0.003,-0.028,-0.023
1775857199056,-0.001,-0.029,-0.023
1775857199076,-0.003,-0.026,-0.021
1775857199095,-0.006,-0.023,-0.021
1775857199115,-0.009,-0.024,-0.020
1775857199135,-0.009,-0.023,-0.017
1775857199155,-0.009,-0.020,-0.008
1775857199174,-0.010,-0.017,-0.009
1775857199194,-0.009,-0.019,-0.014
1775857199214,-0.009,-0.019,-0.019
1775857199234,-0.008,-0.012,-0.016
1775857199253,-0.009,-0.004,-0.010
1775857199273,-0.010,-0.001,-0.009
1775857199293,-0.014,0.003,-0.010
1775857199313,-0.019,0.010,-0.012
1775857199332,-0.022,0.018,-0.011
1775857199352,-0.031,0.032,-0.005
1775857199372,-0.039,0.051,0.002
1775857199392,-0.046,0.067,0.008
1775857199411,-0.053,0.081,0.013
1775857199431,-0.061,0.096,0.017
1775857199451,-0.068,0.108,0.020
1775857199471,-0.073,0.115,0.021
1775857199490,-0.080,0.121,0.023
1775857199510,-0.090,0.129,0.027
1775857199530,-0.103,0.137,0.029
1775857199550,-0.120,0.146,0.030
1775857199569,-0.139,0.155,0.033
1775857199589,-0.159,0.163,0.032
1775857199609,-0.181,0.167,0.025
1775857199629,-0.203,0.166,0.022
1775857199648,-0.224,0.163,0.023
1775857199668,-0.240,0.156,0.026
1775857199688,-0.252,0.154,0.030
1775857199708,-0.257,0.150,0.028
1775857199727,-0.260,0.144,0.026
1775857199747,-0.257,0.137,0.031
1775857199767,-0.248,0.134,0.036
1775857199787,-0.231,0.127,0.037
1775857199806,-0.211,0.121,0.042
1775857199826,-0.186,0.116,0.047
1775857199846,-0.163,0.116,0.051
1775857199866,-0.146,0.116,0.053
1775857199885,-0.137,0.110,0.053
1775857199905,-0.134,0.099,0.052
1775857199925,-0.139,0.091,0.063
1775857199945,-0.142,0.088,0.079
1775857199964,-0.141,0.088,0.087
1775857199984,-0.136,0.083,0.085
1775857200004,-0.129,0.079,0.082
1775857200024,-0.121,0.083,0.085
1775857200043,-0.113,0.088,0.086
1775857200063,-0.105,0.088,0.083
1775857200083,-0.092,0.084,0.083
1775857200103,-0.074,0.080,0.081
1775857200122,-0.061,0.074,0.075
1775857200142,-0.063,0.072,0.076
1775857200162,-0.058,0.072,0.082
1775857200182,-0.043,0.068,0.087
1775857200202,-0.026,0.061,0.083
1775857200221,-0.032,0.059,0.076
1775857200241,-0.052,0.059,0.070
1775857200261,-0.060,0.056,0.068
1775857200281,-0.055,0.052,0.067
1775857200300,-0.043,0.055,0.072
