time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1773521762044546800,0.292546875,-1.6656585149945704,-0.11382446652820005,0.7290912469227054,-0.006765851049591215,-0.6622222569426682,0.13012124056611235,0.3474429917457937
1773521762054585600,0.302585693359375,-1.6659478030131634,-0.11391735831921786,0.729169979132686,-0.006426865650796675,-0.6621409684239794,0.13001242790996617,0.34740716445344255
1773521762064623900,0.312623779296875,-1.6662349621497268,-0.11397469522081737,0.72925585096552,-0.005999031118392789,-0.6620783655941082,0.1297992317705013,0.34716579427716715
1773521762074662700,0.32266259765625,-1.6665646188044363,-0.11394513253091898,0.7293724510843137,-0.005515810951356423,-0.662022433073391,0.12945531134775343,0.3466093338701038
1773521762084701700,0.33270166015625,-1.6669740235639554,-0.11385536720161865,0.7295265035273744,-0.004983978827667325,-0.6619532327775467,0.1290196065134865,0.3458328150021235
1773521762094739700,0.34273974609375,-1.6674165187765457,-0.11382589486115867,0.7296801592570821,-0.0044125480464794675,-0.6618656185635713,0.12862522026136622,0.3452005839039636
1773521762104778800,0.35277880859375,-1.667806137520658,-0.11401590810294769,0.7297777322502248,-0.003643875994458272,-0.6617844009175204,0.1283210154254689,0.3450030400391444
1773521762114817800,0.36281787109375,-1.66816838723639,-0.11446782236296812,0.7298198764331609,-0.002610990610568987,-0.661701158663888,0.12810817489182638,0.3452997677442597
1773521762124855800,0.372855712890625,-1.6685204294996088,-0.11509451099350407,0.7298266427069967,-0.001441184318721724,-0.6616085450581034,0.12798645882386187,0.345971613449074
1773521762134894800,0.382894775390625,-1.668666866260165,-0.11578033095770454,0.7297570668229942,-0.00017913424994392115,-0.6615946636289953,0.12783620810733953,0.3466808981896516
1773521762144933600,0.39293359375,-1.6687229013507912,-0.11640319278643452,0.7296706722325302,0.001118199656960233,-0.6616302708120805,0.12757918009180325,0.34714374473499693
1773521762154972000,0.402971923828125,-1.6689293686066264,-0.11677781900520708,0.729676624900663,0.0021500836744927933,-0.6616187546397057,0.12726233012452678,0.34717794639126126
1773521762165010700,0.4130107421875,-1.669384888753406,-0.11713956374283598,0.7297676067998476,0.0034518728507281896,-0.6615498415916913,0.12676528068879994,0.3469229700020133
1773521762175049700,0.4230498046875,-1.6699191417118606,-0.11789279803381679,0.7298204264045075,0.005831595568564481,-0.6615193105377236,0.12591961855550177,0.3466767446878079
1773521762185087700,0.433087646484375,-1.6705299905511948,-0.11907716323343912,0.7298255455337347,0.009305379599800415,-0.6615217041914,0.12475707962914079,0.34654056505623027
1773521762195126800,0.443126708984375,-1.671186708628526,-0.12066074793190532,0.7297775973194476,0.013882829568581103,-0.6615735328620376,0.12323138253894401,0.34640113553272
1773521762205165600,0.45316552734375,-1.671619512398229,-0.12262822777308512,0.729592530275737,0.019668783312103765,-0.6617886928096687,0.12121363903292248,0.3460462374268065
1773521762215203800,0.463203857421875,-1.671817633239271,-0.12478470522320184,0.7293011543644363,0.026446753871669268,-0.6621720629434376,0.11864505624704073,0.34512450616747714
1773521762225243000,0.473242919921875,-1.6715448373176398,-0.1271132247530373,0.7288246828994769,0.03382744888676131,-0.6627636764764634,0.11576276678953264,0.3439767871990302
1773521762235281700,0.48328173828125,-1.6709214255269487,-0.13006387575660605,0.7281091915917666,0.04228054824813332,-0.6634987009286136,0.11273750597205805,0.34347893950432173
1773521762245320000,0.49331982421875,-1.6701116481119536,-0.13354497301824397,0.7272154953664136,0.051528227858523686,-0.664297006276103,0.10969399383303176,0.34369617845546346
1773521762255358700,0.503358642578125,-1.668828152291709,-0.13798912641880592,0.7259616043550022,0.06279672013076978,-0.6653312991481659,0.10617452972408074,0.3445511413941073
1773521762265397800,0.513397705078125,-1.665923302541849,-0.14337894470860177,0.7239651928893776,0.07626489321583604,-0.6670359759938785,0.10188182218835397,0.34563651224479
1773521762275435800,0.523435791015625,-1.6610456689530255,-0.14966982455584907,0.721097783553409,0.09209643542139781,-0.6695409728262005,0.09660126053676157,0.34663838823525056
1773521762285474800,0.533474853515625,-1.6539171414311853,-0.15694934755356768,0.7172181185200519,0.11086619112754038,-0.6729559346672865,0.08997470505069403,0.3472390759136117
1773521762295513600,0.543513671875,-1.6443098549804696,-0.16519583039440505,0.7122078924003065,0.1326314218537245,-0.6773184668280208,0.08191495698051744,0.3474074965586573
1773521762305552000,0.5535517578125,-1.6320202653478013,-0.1748121265090103,0.7058367764210484,0.15838924631114804,-0.6826663280765959,0.07212496531393338,0.34744182794212014
1773521762315590700,0.563590576171875,-1.6166834338645284,-0.18576795857135717,0.6978922206811495,0.1879441488150153,-0.6890238332537748,0.06068796655182783,0.34766604441202875
1773521762325629700,0.573629638671875,-1.595223766764269,-0.19751740841728996,0.687356879091782,0.21803762383034156,-0.69722808576125,0.04899492418303252,0.3498781746548208
1773521762335668000,0.58366796875,-1.5668866902254017,-0.2103082021110571,0.6737489280422545,0.24864272117329494,-0.7074233766999517,0.03721675476504455,0.35512052678384515
