time,seconds_elapsed,relativeAltitude,pressure,local_time
1775952934574528300,-0.5014716796875,0,995.4644775390625,2026-04-11T19:15:34.574-05:00
1775952935579380000,0.5033798828125,-0.0819091796875,995.4740905761719,2026-04-11T19:15:35.579-05:00
1775952936584173300,1.50817333984375,-0.1611785888671875,995.4837036132812,2026-04-11T19:15:36.584-05:00
1775952937588976000,2.51297607421875,-0.367279052734375,995.5079650878906,2026-04-11T19:15:37.588-05:00
1775952938593734100,3.517734130859375,-0.6685028076171875,995.5436706542969,2026-04-11T19:15:38.593-05:00
1775952938945984300,3.869984375,-0.7239990234375,995.5500793457031,2026-04-11T19:15:38.945-05:00
1775952940017798100,4.941798095703125,-0.8270416259765625,995.5622863769531,2026-04-11T19:15:40.017-05:00
1775952941089611000,6.013611083984375,-0.8270416259765625,995.5622863769531,2026-04-11T19:15:41.089-05:00
1775952942161435100,7.08543505859375,-0.850830078125,995.565185546875,2026-04-11T19:15:42.161-05:00
1775952943233165000,8.1571650390625,-0.850830078125,995.565185546875,2026-04-11T19:15:43.233-05:00
1775952944304935200,9.22893505859375,-0.8534698486328125,995.5656433105469,2026-04-11T19:15:44.304-05:00
1775952945376760000,10.300760009765625,-0.82440185546875,995.5621337890625,2026-04-11T19:15:45.376-05:00
1775952946448576300,11.372576171875,-0.8534698486328125,995.5656433105469,2026-04-11T19:15:46.448-05:00
1775952947520353000,12.44435302734375,-0.8587493896484375,995.5661010742188,2026-04-11T19:15:47.520-05:00
1775952948592170200,13.516170166015625,-0.86932373046875,995.5674743652344,2026-04-11T19:15:48.592-05:00
1775952949663962000,14.587962158203124,-0.8587493896484375,995.5661010742188,2026-04-11T19:15:49.663-05:00
1775952950735686100,15.65968603515625,-0.86932373046875,995.5674743652344,2026-04-11T19:15:50.735-05:00
1775952951807442200,16.731442138671873,-0.8904571533203125,995.5698394775391,2026-04-11T19:15:51.807-05:00
1775952952879217200,17.803217041015625,-0.8904571533203125,995.5698394775391,2026-04-11T19:15:52.879-05:00
1775952953951041300,18.875041259765624,-0.8587493896484375,995.5661773681641,2026-04-11T19:15:53.951-05:00
1775952955022832000,19.94683203125,-0.8587493896484375,995.5661773681641,2026-04-11T19:15:55.022-05:00
1775952956094596000,21.01859619140625,-0.874603271484375,995.5678558349609,2026-04-11T19:15:56.094-05:00
1775952957166342100,22.090342041015624,-0.874603271484375,995.5678558349609,2026-04-11T19:15:57.166-05:00
1775952958238135000,23.162135009765624,-0.8666839599609375,995.5672454833984,2026-04-11T19:15:58.238-05:00
1775952959309923300,24.23392333984375,-0.850830078125,995.565185546875,2026-04-11T19:15:59.309-05:00
1775952960381696300,25.3056962890625,-0.8666839599609375,995.5672454833984,2026-04-11T19:16:00.381-05:00
1775952961453456100,26.3774560546875,-0.850830078125,995.565185546875,2026-04-11T19:16:01.453-05:00
1775952962525219300,27.44921923828125,-0.8798828125,995.5687713623047,2026-04-11T19:16:02.525-05:00
1775952963596993300,28.5209931640625,-0.8798828125,995.5687713623047,2026-04-11T19:16:03.596-05:00
1775952964668810200,29.592810302734375,-0.893096923828125,995.5701446533203,2026-04-11T19:16:04.668-05:00
1775952965740578300,30.664578369140624,-0.893096923828125,995.5701446533203,2026-04-11T19:16:05.740-05:00
1775952966812338200,31.736338134765624,-0.9248046875,995.5738830566406,2026-04-11T19:16:06.812-05:00
1775952967884113200,32.80811303710937,-0.9248046875,995.5738830566406,2026-04-11T19:16:07.884-05:00
1775952968955867100,33.8798671875,-0.938018798828125,995.5755615234375,2026-04-11T19:16:08.955-05:00
1775952970027639300,34.95163940429688,-0.9538726806640625,995.5774688720703,2026-04-11T19:16:10.027-05:00
1775952971099434200,36.02343432617187,-0.982940673828125,995.5808258056641,2026-04-11T19:16:11.099-05:00
1775952972171221000,37.095220947265624,-0.982940673828125,995.5808258056641,2026-04-11T19:16:12.171-05:00
1775952973243003100,38.16700317382813,-0.99615478515625,995.5825805664062,2026-04-11T19:16:13.243-05:00
1775952974314777000,39.23877709960937,-0.99615478515625,995.5825805664062,2026-04-11T19:16:14.314-05:00
1775952975386518000,40.31051806640625,-0.956512451171875,995.5776214599609,2026-04-11T19:16:15.386-05:00
1775952976458288000,41.3822880859375,-0.956512451171875,995.5776214599609,2026-04-11T19:16:16.458-05:00
1775952977530002200,42.45400219726562,-0.9485931396484375,995.5767822265625,2026-04-11T19:16:17.530-05:00
1775952978601729300,43.52572924804687,-0.9274444580078125,995.5744171142578,2026-04-11T19:16:18.601-05:00
1775952979673434000,44.59743408203125,-0.9036712646484375,995.5713653564453,2026-04-11T19:16:19.673-05:00
1775952980745187000,45.66918701171875,-0.8878173828125,995.5695343017578,2026-04-11T19:16:20.745-05:00
1775952981816889000,46.74088916015625,-0.8666839599609375,995.5671691894531,2026-04-11T19:16:21.816-05:00
1775952982888553200,47.81255322265625,-0.8032684326171875,995.5597686767578,2026-04-11T19:16:22.888-05:00
