time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch,local_time
1775952935156857300,0.080857421875,-3.1410835053307196,0.07068330764881567,-0.9763270733196803,0.1444358153035136,0.014998809623754607,-0.20387340647088006,0.4117509878095737,2026-04-11T19:15:35.156-05:00
1775952935166914300,0.090914306640625,3.1383546472742663,0.0713731885487143,-0.9761942889269135,0.1466452343499039,0.01342348361380225,-0.20437786852431147,0.4125439768281836,2026-04-11T19:15:35.166-05:00
1775952935176971300,0.10097119140625,3.1340426498741176,0.0705260108318596,-0.9761361854975414,0.1458339064024053,0.01127585305401788,-0.20507816147375071,0.41365519198607764,2026-04-11T19:15:35.176-05:00
1775952935187027200,0.111027099609375,3.1289217014299613,0.06848088933313498,-0.9761988345200301,0.14273493888211516,0.008482826668318746,-0.20560692730887978,0.4143426686155074,2026-04-11T19:15:35.187-05:00
1775952935197084200,0.121084228515625,3.121864124160805,0.06483986700249363,-0.9764678531442903,0.13675234063686756,0.00440643225214017,-0.20563790297204232,0.4138846755785505,2026-04-11T19:15:35.197-05:00
1775952935207141400,0.131141357421875,3.1133353970715083,0.059879563486633064,-0.9767925970412549,0.12837610439380664,-0.0006378792324470521,-0.2056457541213996,0.41333981015312027,2026-04-11T19:15:35.207-05:00
1775952935217197300,0.141197265625,3.1037542613474947,0.055209466908627124,-0.9767807402047333,0.12089867243077365,-0.0060220130017984074,-0.20691823686388658,0.41540722247356676,2026-04-11T19:15:35.217-05:00
1775952935227254500,0.151254638671875,3.0934663400324203,0.0518014211395365,-0.9761835047195837,0.1163397969043206,-0.011316345688517975,-0.21036702936668808,0.4219511425304919,2026-04-11T19:15:35.227-05:00
1775952935237311500,0.1613115234375,3.083280944942732,0.04921505570617492,-0.9750132738275448,0.11369756663074929,-0.01622347657982818,-0.21601806673983018,0.4330531746651776,2026-04-11T19:15:35.237-05:00
1775952935247367400,0.171367431640625,3.0733137377478315,0.04753456827991502,-0.9733637639339576,0.11313964199822554,-0.020687833586669084,-0.22332820840915113,0.4475880044762698,2026-04-11T19:15:35.247-05:00
1775952935257424400,0.18142431640625,3.0633865054182556,0.04711015211635737,-0.9714033981200522,0.11538941683558124,-0.024745579404597193,-0.2313950663363573,0.4636596569432175,2026-04-11T19:15:35.257-05:00
1775952935267480300,0.191480224609375,3.0527704609996857,0.04806093615860453,-0.9692530919009749,0.12083710214082297,-0.028708405642395674,-0.23961291872058732,0.47994638535184164,2026-04-11T19:15:35.267-05:00
1775952935277537300,0.201537353515625,3.0418094489301044,0.04909829734256365,-0.9672196259894905,0.12664153837888878,-0.03279161121457657,-0.24698254154661511,0.4944557958922775,2026-04-11T19:15:35.277-05:00
1775952935287594500,0.211594482421875,3.030698829008795,0.05002677211712212,-0.9657157483561817,0.1321000181119069,-0.03711454299045546,-0.2520177161589079,0.5041250406590626,2026-04-11T19:15:35.287-05:00
1775952935297650400,0.221650390625,3.0199347490581068,0.050893588195553174,-0.9647958343665923,0.13707954956410248,-0.04149030559890481,-0.2546711184732927,0.5088669692945917,2026-04-11T19:15:35.297-05:00
1775952935307707400,0.231707275390625,3.010250960789944,0.051552459693085036,-0.9644415837747938,0.1410326158470067,-0.04564286679327475,-0.255169909940238,0.5092092138510667,2026-04-11T19:15:35.307-05:00
1775952935317764400,0.241764404296875,3.002493370155162,0.05276518010361569,-0.9646183755282606,0.14526216183730065,-0.04901124052656809,-0.253624105173101,0.505367198880387,2026-04-11T19:15:35.317-05:00
1775952935327820300,0.2518203125,2.9975476042537097,0.05531359945998346,-0.9651829337582339,0.15120628121662358,-0.05096060711151166,-0.2505303725808938,0.4983508827352161,2026-04-11T19:15:35.327-05:00
1775952935337877200,0.261877197265625,2.9953664507360322,0.058797173469427484,-0.966064634287019,0.1581026675161005,-0.05159855927261403,-0.24616987252111702,0.48879724397740015,2026-04-11T19:15:35.337-05:00
1775952935347933400,0.271933349609375,2.995215396294499,0.06280786389226237,-0.9671895728577081,0.16535600801136832,-0.05134488305664443,-0.24075556843604293,0.47716515011908184,2026-04-11T19:15:35.347-05:00
1775952935357990400,0.281990478515625,2.9967986667944766,0.06719273544695159,-0.9685024584566162,0.17277922567620438,-0.05035960930723092,-0.23441835830433766,0.46374635322591423,2026-04-11T19:15:35.357-05:00
